trial_number,state,iterations,learning_rate,depth,l2_leaf_reg,mse,rmse,mae
0,COMPLETE,278,0.011339851945788869,5,1.7429716545737127e-08,0.3183471080024949,0.564222569561423,0.4312067494804381
1,COMPLETE,794,0.0149986727848695,4,8.568816222360376e-05,0.13789952041165132,0.37134824681375744,0.2765607571194448
2,COMPLETE,789,0.15739052387052505,7,5.7727022735416774e-08,0.1268948355583853,0.35622301379667387,0.24708742462685912
3,COMPLETE,702,0.05534521126598841,6,0.00021787597710784022,0.10135312592090863,0.31836005704376397,0.2232220039661647
4,COMPLETE,210,0.05417557484310459,10,3.073762272057437e-08,0.1842444277245673,0.42923702976859684,0.2984427694725096
5,COMPLETE,405,0.010867301357331148,5,1.5205197047306668e-05,0.25052575712957453,0.500525480999294,0.3805831538040983
6,COMPLETE,170,0.09533959783881266,8,0.005420428274913893,0.14368973790745976,0.37906429257773644,0.266474233799251
7,COMPLETE,820,0.03462185583824359,8,0.005721860684536342,0.1281576620975778,0.357991148071538,0.25135637609478806
8,COMPLETE,631,0.056723700426875676,7,7.793826368666155e-08,0.1121460163647769,0.334882093228015,0.2361491503162632
9,COMPLETE,456,0.031587435413604946,4,3.810667451720716e-08,0.1204146216690482,0.3470081002931318,0.2572039248704696
10,COMPLETE,960,0.24622211390414192,6,0.0002856902810532643,0.12417814109521282,0.3523891898103754,0.24654299517535333
11,COMPLETE,615,0.08195220515177656,7,6.259829598554886e-07,0.11588624888912365,0.3404206939789702,0.23593325811353671
12,COMPLETE,621,0.0319080315194646,9,3.1742318352082867e-06,0.1497404795728979,0.3869631501485612,0.27180932391278984
13,COMPLETE,612,0.07117797545085792,6,0.00034152093263383544,0.09954927414537632,0.31551430101562167,0.22451997131199636
14,COMPLETE,985,0.11974197598868339,6,0.00014939165631263113,0.1029074783360894,0.32079195491172996,0.22815249749759792
15,COMPLETE,506,0.053298332356059124,6,0.0008928315612175968,0.09826430269489343,0.3134713746020415,0.21915457992858375
16,COMPLETE,378,0.01899499198954801,5,0.0011126637952039238,0.17284081441280016,0.4157412830268365,0.31532489363795924
17,COMPLETE,491,0.21213542470457478,8,2.1110672424718357e-05,0.15838068746548528,0.39797071181870314,0.281965037340624
18,COMPLETE,70,0.043395964215407035,6,0.0011466030211881937,0.28571425900003244,0.5345224588359524,0.40548381518900234
19,COMPLETE,540,0.07565214282208263,5,0.0007485804685542943,0.10017350535868866,0.3165019831828683,0.22192096185138227
20,COMPLETE,329,0.12992568802411233,9,4.3377391490565404e-05,0.166071683284001,0.4075189361048159,0.285128511750282
21,COMPLETE,552,0.08074177257194551,5,0.0009728700591652197,0.09775991389024918,0.31266581823130135,0.22598598548429277
22,COMPLETE,547,0.07021792734460891,4,0.009315841079190368,0.09325087892293935,0.30537006880658646,0.2161848719753999
23,COMPLETE,530,0.021786514685420665,4,0.008981769677368554,0.14130405694952144,0.3759043188758563,0.28012084189341113
24,COMPLETE,715,0.09497608589077264,4,0.0024298474141025432,0.09011336106314079,0.3001888756485503,0.20838611517684355
25,COMPLETE,722,0.10273933164294106,4,0.009887903567327206,0.0902726429655496,0.3004540613231074,0.2100798522947023
26,COMPLETE,878,0.15404001647094173,4,0.004314180975242016,0.0964522745590431,0.3105676650249396,0.21569183481764267
27,COMPLETE,729,0.10614384330553203,4,0.0025952040476557078,0.09199681299564534,0.3033097640954629,0.21278998039955707
28,COMPLETE,726,0.11261147621476192,4,0.001885847546769335,0.09728441941912516,0.3119045036852228,0.21562789875074742
29,COMPLETE,898,0.18157619770523747,5,0.0026931890674090652,0.11166958437939123,0.3341699932360643,0.2354991865299298
30,COMPLETE,711,0.2720106193981194,5,4.154273459266988e-06,0.12599362369655576,0.35495580527236875,0.2406027724946287
