trial_number,l1_smooth,dropout_rate,lr_max,n_epoch,num_layers,num_resblocks,num_units_layer_0,num_units_layer_1,num_units_layer_2,num_units_layer_3,num_units_layer_4,use_batchnorm,use_dropout,use_resblocks,mae,mse,rmse,state
0,0.406218945980072,0.46587226994679876,0.00030111222251271016,111,5,,235,178.0,69.0,30.0,16.0,False,True,False,0.8044295310974121,0.9056169986724854,0.9516390562057495,COMPLETE
1,0.459987610578537,0.7880093825874037,0.0038422004587685657,37,3,,35,238.0,40.0,,,False,True,False,0.8717527985572815,1.0390524864196777,1.0193392038345337,COMPLETE
2,0.7877649068832397,0.634912091956172,1.8826107481990587e-06,86,2,5.0,246,17.0,,,,True,False,True,1.2098342180252075,2.220914840698242,1.490273356437683,COMPLETE
3,0.49507251381874084,0.1272386083496253,2.520851001842433e-06,61,4,1.0,145,17.0,56.0,142.0,,True,True,True,0.8843592405319214,1.2203171253204346,1.1046795845031738,COMPLETE
4,0.32675880193710327,0.42962480715069473,0.00024908352992356866,59,4,1.0,217,219.0,44.0,82.0,,False,True,True,0.7159515619277954,0.7080363035202026,0.8414489030838013,COMPLETE
5,0.45695725083351135,0.6810431626951824,9.42796565317222e-05,49,4,,37,48.0,156.0,81.0,,False,True,False,0.8643613457679749,1.0398788452148438,1.0197445154190063,COMPLETE
6,0.21271377801895142,0.49359836877314345,0.0014267013033608326,10,4,4.0,154,68.0,216.0,118.0,,False,False,True,0.5308690667152405,0.4451484680175781,0.6671944856643677,COMPLETE
7,0.6599199175834656,0.2652940591765747,1.0068750000239528e-06,47,3,3.0,254,245.0,29.0,,,False,True,True,1.0590689182281494,1.7184066772460938,1.3108800649642944,COMPLETE
8,0.09626089781522751,0.6834843008744333,0.003401140410558271,86,5,1.0,182,29.0,85.0,58.0,42.0,False,False,True,0.3010862171649933,0.2086043655872345,0.45673224329948425,COMPLETE
9,0.17974700033664703,0.3572993762843649,0.00015027481516517035,59,1,,52,,,,,True,True,False,0.49228525161743164,0.38292405009269714,0.6188085079193115,COMPLETE
