trial_number,state,iterations,learning_rate,depth,l2_leaf_reg,mse,rmse,mae
0,COMPLETE,241,0.01579882408327043,8,0.0009720815961211773,0.12248438874209774,0.3499776974924227,0.23627065969324829
1,COMPLETE,679,0.10740685655404789,9,0.00034913270591444684,0.10438850363797775,0.3230920977646741,0.19660094876709405
2,COMPLETE,766,0.023848498845840557,8,8.551724603808311e-07,0.10005867819917101,0.31632053078984773,0.18662028273537934
3,COMPLETE,704,0.030424318514617108,6,4.0077591226554614e-08,0.0968388064679494,0.311189341828973,0.18564426672427609
4,COMPLETE,464,0.06262280567266158,4,0.0028079092178271143,0.09686637666367116,0.3112336367805883,0.18288818165122234
5,COMPLETE,151,0.0996124952174888,4,0.00017397977280392263,0.10065643984640252,0.3172639907811829,0.20540503180612374
6,COMPLETE,105,0.23494319925500295,9,1.5248536661758507e-07,0.12658913723948265,0.35579367228701897,0.20669199159471532
7,COMPLETE,940,0.0713413457502975,9,1.102265615143848e-06,0.10668824599399564,0.3266316671634819,0.1965639795088067
8,COMPLETE,771,0.019797932666102032,9,0.00028949093486453864,0.10563636936717898,0.3250174908634595,0.19796310614127594
9,COMPLETE,575,0.029497582777480887,7,1.0726511269384805e-05,0.09378227085567338,0.3062389114003532,0.18600532238770492
10,COMPLETE,434,0.012031263305183226,6,1.1844998015762025e-05,0.12055727729537191,0.3472135903091524,0.23479599347734084
11,COMPLETE,608,0.03322055904680344,6,4.222684302398263e-08,0.10102963999099025,0.3178516005795633,0.18578926176169175
12,COMPLETE,998,0.0320741018227092,6,1.0034845504548728e-08,0.09516121828850893,0.30848211988461977,0.17724501287481512
13,COMPLETE,986,0.04238254713180092,7,2.204961785844351e-05,0.09358106012014024,0.30591021578257277,0.18095859172948764
14,COMPLETE,350,0.04641935109001111,7,2.0938763687853954e-05,0.0967432503130075,0.31103577015032774,0.18877188533603986
15,COMPLETE,883,0.047700374262808994,7,5.267992435988585e-05,0.09359785878177763,0.30593767140020145,0.17511573295687966
16,COMPLETE,871,0.16829993092355527,5,3.8165020193289537e-05,0.12390816596884455,0.35200591751964133,0.1812620913017829
17,COMPLETE,861,0.0478567303298124,10,1.612243091454008e-06,0.10724934586834528,0.32748945917135297,0.19421135680758447
18,COMPLETE,997,0.09344554943416498,8,5.227748044229321e-05,0.09954269200857042,0.3155038700373902,0.18674889457708457
19,COMPLETE,859,0.046719128858021396,5,0.009881664708196292,0.09885115312216036,0.3144060322610881,0.1737306923240532
20,COMPLETE,798,0.07597068862929628,7,3.7082031996191266e-06,0.08555817309308422,0.2925032873201329,0.16871142718479568
21,COMPLETE,907,0.07267267929705228,7,2.4205263529188607e-06,0.09969815150162559,0.3157501409368262,0.1841710867144824
22,COMPLETE,789,0.14304361634818993,7,4.223050865840008e-06,0.09541918686453923,0.3088999625518579,0.18753494998107575
23,COMPLETE,680,0.04325325133384315,8,7.887842937131789e-05,0.10019121234410786,0.3165299548922785,0.1850268054035793
24,COMPLETE,940,0.060261733055926504,5,2.43028514157306e-07,0.09183526548551191,0.30304333928583865,0.1696184999272178
25,COMPLETE,954,0.07796365708909826,5,3.695859705775813e-07,0.10477089752492216,0.3236833290809432,0.1688838887367539
26,COMPLETE,827,0.06056216318772908,5,2.736148818351353e-07,0.0939144160591163,0.30645459053359975,0.17073936841892395
27,COMPLETE,741,0.14913861869362383,4,7.241898889090129e-06,0.09223359773900208,0.30369984810500333,0.17730936869366745
28,COMPLETE,739,0.2658602385692281,4,5.22865599501119e-06,0.12950812091979716,0.3598723675413231,0.18837814354009036
29,COMPLETE,610,0.14255004647598057,4,7.637098631653141e-08,0.10696275759529918,0.32705161304494307,0.17874622101721915
30,COMPLETE,500,0.20433234368765602,5,7.677447652000779e-07,0.10719983517804679,0.3274138591722207,0.18480443602000587
31,COMPLETE,810,0.10634732695207814,4,5.014023375776279e-06,0.09511867617991407,0.3084131582470405,0.17241458362066153
32,COMPLETE,936,0.136007751996069,6,1.8526208450742258e-05,0.11338052461504959,0.3367202468148442,0.18867431375767854
33,COMPLETE,715,0.08543957454538956,10,2.8835262714615916e-06,0.1074045293901318,0.3277263025607371,0.19701050137515638
34,COMPLETE,1000,0.03656861703826172,8,0.0008853211895595404,0.09313500172851936,0.3051802774238849,0.18218190427505368
35,COMPLETE,645,0.02302753915434075,8,0.0005140490034849065,0.09617282349073246,0.31011743499960215,0.18742250215221817
36,COMPLETE,916,0.11315155657759352,8,0.0012283952704833213,0.10072430783935125,0.3173709309929806,0.18618982436997722
37,COMPLETE,824,0.0590483296859402,4,5.512473671310784e-07,0.09012914509044474,0.3002151646576914,0.16979907480722076
38,COMPLETE,797,0.05703159823687736,4,5.121467657810541e-07,0.08852600721397043,0.2975332035487307,0.17000116571176604
39,COMPLETE,218,0.058084361555712616,4,4.941328833579154e-07,0.1166483093840837,0.3415381521647087,0.20393306495129152
