trial_number,state,kernel,gamma,C,mse,rmse,mae
0,COMPLETE,linear,0.003913515648020544,0.08529298465080307,0.29733440189426935,0.5452837810665832,0.3668820117512544
1,COMPLETE,linear,0.0036984862977713067,0.8195343912941568,0.45146207140079914,0.6719092731915516,0.36327600634542234
2,COMPLETE,poly,0.013712723599669366,3.0111222251271013,0.2326424351680873,0.48233021382460306,0.31109432641620677
3,COMPLETE,poly,0.0010030489705538156,0.07502469581683284,0.9005957971534421,0.9489972587702464,0.7431878200604244
4,COMPLETE,linear,0.0009255340046547168,0.019220796427135513,0.3213692449513641,0.5668943860644274,0.40616675937574603
5,COMPLETE,poly,0.0010873887511663955,86.89559256549153,0.5819202171138624,0.7628369531648702,0.588099239342332
6,COMPLETE,poly,0.019610126450170427,56.91354705657853,0.289627628320141,0.5381706312315278,0.23643613551061293
7,COMPLETE,linear,0.025302746180755568,3.5723600542966367,0.5342930362154272,0.7309535116650219,0.38485759649712625
8,COMPLETE,poly,0.0001247453797044984,0.6634241679376875,0.9010097991522474,0.949215359732578,0.7433598060283048
9,COMPLETE,linear,0.00013083890261994982,0.6105083807148418,0.42409060881555505,0.6512223958184754,0.3593704468637107
10,COMPLETE,rbf,0.06865363937594363,3.394532731945007,0.05524352077546277,0.23503940260191006,0.16060003797689798
11,COMPLETE,rbf,0.09019461510367711,8.721649904871276,0.06438018890176805,0.25373251447492506,0.16987171022021827
12,COMPLETE,rbf,0.09222934458879155,12.084994986152187,0.0654614172876979,0.25585428917197756,0.1711879707117339
13,COMPLETE,rbf,0.09751697000820583,12.447639848798426,0.06820517064586956,0.2611611966695465,0.17468762300887564
14,COMPLETE,rbf,0.04168034621318634,16.246483811801966,0.053933082407244946,0.23223497240347962,0.15022386211828084
15,COMPLETE,rbf,0.033727590799715136,26.63795740456216,0.05855267246383241,0.24197659486783513,0.15131410805345052
16,COMPLETE,rbf,0.006810085172300555,2.327267267703503,0.20841796539978735,0.456528164957856,0.3182689434702088
17,COMPLETE,rbf,0.043449663254651216,0.21044641885361398,0.21733160470863677,0.4661883789935532,0.34089478156102154
18,COMPLETE,rbf,0.009510942852668578,28.968203107092066,0.08570178707402012,0.29274867561445966,0.16711541703879676
19,COMPLETE,rbf,0.05174356113722486,6.675502524450939,0.05148427973109467,0.22690147582396786,0.15290305559301792
20,COMPLETE,rbf,0.039962535461488674,27.664048195447272,0.054836498977271594,0.23417194318976728,0.14976881165073921
21,COMPLETE,rbf,0.04329504238186596,30.902894750634964,0.05371309548245889,0.23176085839170274,0.15003815014456595
22,COMPLETE,rbf,0.015110873249581077,6.9056176167204715,0.0818614534494059,0.28611440622486295,0.1758669108244938
23,COMPLETE,rbf,0.04530380526046067,45.2449589479706,0.05319042887616635,0.23063050291790624,0.1502831709815507
24,COMPLETE,rbf,0.0073123341546097904,62.34961396024228,0.09198643348843888,0.30329265320551185,0.1691967673272131
25,COMPLETE,rbf,0.05452534994103672,42.104214126183706,0.052244020129598834,0.22856950831114556,0.15174235437301173
26,COMPLETE,rbf,0.00038143633802818175,47.00618912708794,0.2924854241282895,0.5408192157535543,0.3788823385823448
27,COMPLETE,rbf,0.02325619002010056,94.98095008851807,0.07022555947118472,0.26500105560390647,0.1556657208713612
28,COMPLETE,rbf,0.0603153619478449,5.732658605257549,0.052661696163092714,0.22948136343305248,0.1551131711179608
