trial_number,CR,F,G,size,best_positions,best_total_power,state
0,0.968540662820932,0.8860864625126346,113,191,"[1.00000000e+00 3.45568803e-02 9.96434924e-01 1.69422842e-01
 7.92400185e-01 4.13212987e-01 4.63580370e-01 9.66684659e-01
 7.40318377e-01 0.00000000e+00 1.00000000e+00 3.46864296e-02
 9.86251287e-01 1.24680878e-01 9.94770899e-01 5.94258144e-02
 9.08210334e-01 2.41363859e-02 9.46201968e-01 1.72062992e-01
 9.88983034e-01 8.53726369e-02 9.22462251e-01 2.37751949e-01
 7.79270602e-01 1.36298119e-02 4.25635178e-01 1.05388640e-02
 8.72282139e-01 1.20348812e-01 5.12350631e-01 1.20888094e-02
 8.13537388e-01 5.35463522e-02 5.18023327e-01 7.69934101e-02
 9.58645792e-02 5.48382176e-01 1.37043648e-01 9.21760434e-01
 8.33521916e-01 1.63505499e-02 7.37924726e-01 9.31548901e-01
 9.57135551e-01 3.10812293e-01 5.34628372e-01 7.23853077e-01
 7.62427199e-01 2.60049134e-01 2.60768999e-02 1.00000000e+00
 9.78939109e-02 9.47970687e-01 0.00000000e+00 9.43633586e-01
 1.00000000e+00 1.92206551e-01 7.81813545e-01 1.78669695e-01
 7.26234489e-01 7.11541345e-01 3.37743258e-01 4.78023541e-02
 9.70887802e-01 1.65992664e-01 5.06655591e-01 6.06851810e-01
 4.51997425e-01 1.00000000e+00 3.07838163e-01 1.00000000e+00
 1.03304876e-02 2.07490828e-01 3.20521185e-01 8.25109685e-01
 1.24954113e-01 9.80014202e-01 2.93127771e-02 9.70800480e-01
 8.15062058e-01 2.05894366e-01 1.96661929e-01 7.91274380e-01
 6.02958962e-03 1.00000000e+00 0.00000000e+00 8.45784545e-01
 4.71931945e-04 7.63415517e-01 2.17947841e-03 3.91892397e-01
 3.28226036e-02 8.32500689e-01 1.23227186e-01 9.61301759e-01
 7.23259350e-03 8.08160656e-01]",-4.254891569021924,COMPLETE
1,0.011398804277429897,0.3094554951795616,62,42,"[0.80184727 0.7818697  0.34809496 0.18836391 0.19388331 0.73345233
 0.61341396 0.86704655 0.1821194  0.70367048 0.98659826 0.41760097
 0.91387533 0.31218483 1.         0.09877042 0.30838311 0.52500935
 0.90792452 0.07461267 0.79541506 0.05552839 0.82504996 0.82698767
 0.81639703 0.20575153 0.43328684 0.0638844  0.         0.94208858
 0.56602299 0.61187683 0.83764868 0.         0.         1.
 0.76735456 0.77515836 0.84657944 0.31485017 0.94126993 0.27960773
 0.90584364 0.91590378 0.35095132 0.36823304 0.88922202 0.3133668
 0.69896339 0.8861104  0.24725317 0.71477802 0.97616877 0.70593626
 0.82117198 0.58208471 0.16244879 0.99132676 0.         0.96171705
 0.42669883 1.         0.73308883 0.26658098 0.19189797 0.19305601
 0.         0.73598007 0.79761562 0.38635945 0.39576873 0.81571187
 0.04350266 0.47631098 0.10467263 1.         0.09460021 0.99525301
 0.77488924 0.43241075 0.50692391 0.59952475 0.29278042 0.50370812
 0.6688481  1.         0.40568199 0.89882259 0.37754708 0.51035039
 0.59781267 0.20599072 0.60619508 0.99020901 0.97120757 0.88190712
 0.41190772 0.01869154]",-1.508596866995018,COMPLETE
2,0.47839179580240243,0.5704072042173127,119,65,"[9.78687752e-01 1.26418592e-01 5.74062831e-01 2.70590743e-01
 1.25918099e-01 3.88924997e-01 2.49861878e-02 5.32181777e-01
 9.99508982e-01 3.83040595e-03 9.82978436e-01 1.41336162e-02
 9.95044028e-01 3.71703712e-03 9.99822933e-01 3.00240503e-03
 9.84159455e-01 6.82701207e-03 9.99893504e-01 1.20670317e-02
 1.00000000e+00 0.00000000e+00 9.83626202e-01 3.74163258e-02
 8.71301481e-01 1.21375229e-02 8.98460744e-01 2.66580469e-03
 7.38750251e-01 3.07934833e-01 5.53361923e-01 5.60599150e-01
 1.00000000e+00 9.16546099e-03 5.96493428e-01 4.40432455e-01
 7.08257351e-01 5.42791098e-01 2.00137765e-01 7.11753395e-01
 8.23242005e-01 6.82592042e-02 4.64805066e-01 6.98058042e-01
 6.35883023e-01 4.16223665e-01 3.48718041e-02 7.87413449e-01
 6.53753493e-01 1.53046978e-01 7.21524993e-01 4.21877028e-02
 7.43774078e-01 3.63397887e-01 3.49645031e-01 5.47619777e-01
 4.42079497e-01 6.65812708e-01 4.17437122e-01 1.00000000e+00
 1.93108067e-01 9.73184955e-01 5.76933193e-02 9.21486761e-01
 5.64557984e-01 2.18610722e-01 5.53343847e-01 6.68702443e-01
 0.00000000e+00 9.92369161e-01 0.00000000e+00 9.95387159e-01
 3.33148973e-01 2.36267419e-03 4.60765620e-01 7.22383173e-01
 1.49086302e-01 6.35344116e-01 0.00000000e+00 1.00000000e+00
 6.84514427e-01 8.64338308e-02 2.32754246e-01 3.94817832e-01
 1.10554871e-03 9.93108324e-01 8.52305984e-03 4.65919381e-01
 1.14998372e-03 6.46957878e-01 0.00000000e+00 7.73718342e-01
 1.12877438e-03 9.83142587e-01 1.47826418e-03 9.94692124e-01
 4.62246518e-04 9.30033906e-01]",-5.216646900553216,COMPLETE
3,0.7123745740820913,0.784806018042636,69,81,"[1.00000000e+00 1.00910804e-01 9.62943936e-01 1.87021308e-01
 9.15480544e-01 9.15384321e-01 9.33429995e-01 6.28511806e-01
 8.65594619e-02 2.92143788e-01 3.67590740e-03 8.09631113e-01
 1.84243022e-01 9.33046154e-01 1.01143991e-01 5.90812339e-01
 9.87905391e-01 2.58171983e-02 9.96416404e-01 4.85773556e-02
 9.98823366e-01 0.00000000e+00 9.93081812e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 9.79985779e-01 1.38597739e-01
 9.88218566e-01 2.38141826e-01 9.72231741e-01 0.00000000e+00
 1.00000000e+00 3.44523791e-03 6.35079883e-01 9.40860683e-03
 9.90355348e-01 2.79987414e-02 9.62025210e-01 1.12042651e-01
 8.29127139e-01 1.08103150e-02 3.22741195e-01 8.61103770e-01
 6.66424570e-01 4.51801289e-01 1.62196300e-01 8.71385046e-01
 5.83428784e-01 0.00000000e+00 9.53697040e-01 3.26185682e-01
 8.63011463e-01 7.29803472e-01 6.52641944e-01 6.79202582e-01
 8.72353115e-01 6.21478662e-01 5.75928406e-01 7.41277419e-01
 7.84465165e-01 8.79721800e-01 2.17704508e-01 9.28649178e-01
 7.54276242e-01 2.47630805e-01 2.04646528e-01 1.00000000e+00
 1.36988944e-01 1.00000000e+00 4.06137090e-04 1.00000000e+00
 3.84106901e-01 3.31397851e-02 3.45179914e-01 8.66298418e-01
 2.54969989e-02 8.28487318e-01 1.70337559e-02 9.68687021e-01
 9.69062563e-01 9.37825953e-03 6.05642057e-01 7.54738942e-02
 4.95275277e-04 8.05331098e-01 1.04649054e-01 4.39868636e-01
 5.93100983e-04 9.30145474e-01 2.71101481e-03 8.86808817e-01
 9.79454960e-02 6.10549322e-01 0.00000000e+00 8.27114137e-01
 0.00000000e+00 9.11453237e-01]",-4.310350560932364,COMPLETE
4,0.9738552412004462,0.3601675252162789,26,30,"[4.20933475e-01 3.47431900e-03 4.99901068e-01 9.27623333e-01
 5.01478623e-01 6.11065115e-08 9.99999811e-01 9.74039190e-05
 5.69194392e-01 1.00000000e+00 9.92682265e-01 9.99833902e-01
 4.84774400e-02 9.98542791e-01 2.94903644e-03 9.98775211e-01
 6.14220876e-01 4.01977092e-01 1.43139536e-07 8.89084869e-08
 8.61928983e-01 9.99780048e-01 3.13347001e-03 9.43668584e-03
 8.96360107e-01 8.79909036e-02 9.99609616e-01 2.68542335e-01
 9.99931226e-01 9.18444797e-01 9.70578005e-01 9.93859975e-01
 9.46788876e-01 6.08340897e-04 5.28851371e-02 2.33234327e-01
 6.13159426e-01 8.24055364e-01 4.41704542e-04 9.99903130e-01
 1.00000000e+00 9.99896933e-01 8.63390122e-01 9.99463133e-01
 2.19862971e-01 1.31322508e-01 2.70824058e-01 6.77049728e-01
 2.51874935e-03 5.72003374e-01 4.78343298e-02 8.51492960e-01
 0.00000000e+00 2.44066646e-04 0.00000000e+00 9.99998402e-01
 3.54916679e-02 5.14355396e-01 2.09234874e-01 2.12702832e-01
 5.78597634e-04 8.25655973e-01 9.83305543e-01 6.43267104e-01
 2.98378814e-07 2.58020479e-01 6.81793208e-01 5.79057369e-01
 9.92968243e-01 3.26774295e-01 2.89126872e-01 4.40865280e-01
 3.01283563e-04 8.37693580e-01 1.00020220e-06 9.99999857e-01
 7.58643028e-01 6.51526205e-01 6.37408533e-01 3.58236184e-01
 2.63785646e-02 9.02442171e-02 7.98587926e-02 9.99892022e-01
 2.69060128e-01 2.81868704e-05 1.26472566e-07 1.00000000e+00
 3.95612426e-07 9.99964226e-01 1.28690193e-07 4.98199220e-01
 1.64495504e-02 2.67489088e-01 6.66661629e-01 9.93780134e-01
 5.05435702e-03 3.61525100e-01]",-1.704311024396107,COMPLETE
5,0.9828705465534338,0.1592275490084903,43,15,"[5.42677772e-01 5.99328549e-01 4.19156854e-01 7.94036194e-01
 7.71086117e-01 1.97573398e-01 1.88404146e-01 8.85269398e-01
 1.27293115e-02 8.60442519e-01 1.30885229e-02 5.93855873e-01
 4.00611805e-05 3.94443741e-01 5.46470621e-01 5.96785317e-01
 1.52609837e-01 3.09156867e-01 9.96056391e-01 6.75995524e-01
 4.73336072e-01 5.17255205e-01 9.50004067e-01 4.16911959e-01
 2.40751687e-01 7.11239171e-01 1.00000000e+00 1.01821842e-01
 9.83579014e-01 2.37616674e-01 5.59157018e-01 6.02256705e-01
 8.71033021e-01 3.24835432e-01 3.19398170e-01 3.72990438e-01
 9.50729483e-01 5.98864831e-01 8.46482483e-01 7.28418244e-01
 1.76831160e-01 9.70386393e-01 1.37964315e-02 9.18509772e-01
 1.05409901e-01 3.97984364e-04 1.81181082e-01 1.78801044e-01
 5.14777426e-01 5.28265407e-01 9.96353815e-01 6.03746925e-01
 5.71644751e-01 4.88770555e-02 8.79470299e-01 6.91007454e-01
 9.87777320e-01 8.08398531e-01 9.04167614e-01 5.82080902e-01
 0.00000000e+00 1.00000000e+00 6.56544511e-01 7.38499768e-01
 7.16467654e-03 8.65856355e-01 2.03269988e-02 1.69611116e-01
 9.31565471e-02 6.07089755e-01 5.38940414e-01 2.86136488e-01
 1.24531997e-04 3.02268376e-01 1.30015330e-01 4.08356930e-01
 1.51893720e-02 3.16543220e-05 5.12221057e-01 2.95494983e-02
 7.97615141e-01 4.53534106e-01 7.86036689e-01 4.73215319e-01
 4.38434544e-01 3.44563915e-01 3.83054517e-01 5.26540916e-01
 3.11635324e-10 6.28407361e-01 1.99128129e-01 5.69462469e-01
 3.74514807e-01 5.41709628e-01 2.70243960e-03 9.30647191e-02
 7.33201761e-01 5.21724200e-01]",-0.6417072271981623,COMPLETE
6,0.22476993896804542,0.16384856027517886,617,37,"[9.98106644e-01 3.54244116e-02 9.99570012e-01 7.15373344e-02
 8.71777731e-01 5.18213709e-01 2.27494647e-01 7.42327714e-01
 9.61775666e-01 3.25289237e-02 6.39341609e-01 8.47424874e-03
 9.99661845e-01 2.30358707e-08 9.99999088e-01 2.50011309e-02
 7.14807780e-01 2.48899407e-02 6.82863006e-01 1.11924599e-01
 9.09077994e-01 2.80704892e-01 3.15271176e-01 8.62627839e-01
 6.25130743e-01 2.47563390e-02 6.41319599e-01 5.65429804e-02
 1.46073004e-01 4.98097091e-01 8.10195590e-02 8.93612413e-01
 9.99994509e-01 6.25053097e-05 7.20613154e-01 1.28380136e-01
 9.51034267e-01 9.15508107e-03 9.83165648e-01 2.40127415e-01
 5.27581811e-01 2.35967239e-01 6.38058885e-02 8.65218435e-01
 5.47191611e-02 2.84243170e-01 2.11767432e-01 7.52648472e-01
 9.67230562e-01 2.97754091e-01 8.64192268e-01 9.70634680e-02
 9.70339879e-01 1.27739978e-01 5.03148552e-01 7.45501828e-01
 6.98622816e-02 9.70090546e-01 1.08430959e-01 8.58282829e-01
 1.49578607e-01 9.99978973e-01 1.50207365e-01 9.92824047e-01
 9.51420965e-01 4.59328159e-02 9.85578999e-01 1.58149986e-01
 1.09388020e-01 3.29537629e-01 2.84458761e-01 9.99983259e-01
 6.33908761e-01 2.77073177e-01 1.47258541e-01 6.48697893e-01
 5.09073409e-01 2.85613899e-01 3.51593643e-01 7.67412311e-01
 2.42832220e-01 4.22951745e-01 4.54812671e-02 6.30737546e-01
 1.52888518e-05 7.28347326e-01 2.43631078e-04 5.90385322e-01
 6.25120844e-02 6.53145791e-01 9.52191077e-02 8.26135280e-01
 6.47525412e-03 9.96116013e-01 2.47512066e-02 5.71640793e-01
 3.73888976e-05 9.67059465e-01]",-4.269118490833902,COMPLETE
7,0.9847494372852713,0.41091545079808034,49,10,"[0.00000000e+00 1.61617119e-02 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 9.57152578e-01 9.99988149e-01
 1.00000000e+00 7.47863764e-01 1.00000000e+00 0.00000000e+00
 3.42769561e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 1.31539851e-02 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 7.43061454e-02 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.06396047e-01 7.46069725e-01 6.98497703e-01 7.64392715e-01
 1.00000000e+00 1.00000000e+00 1.44756097e-01 1.00000000e+00
 4.25472743e-02 0.00000000e+00 0.00000000e+00 6.62949665e-01
 8.56109650e-01 1.00000000e+00 6.21675867e-02 0.00000000e+00
 1.00000000e+00 1.50666108e-01 5.11169326e-01 8.35668948e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 2.09195084e-01 0.00000000e+00 1.00000000e+00 9.88418524e-01
 4.29775168e-01 0.00000000e+00 1.00000000e+00 5.18509170e-01
 1.00000000e+00 1.00000000e+00 5.45421727e-01 0.00000000e+00
 0.00000000e+00 6.60319039e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 7.61098563e-01 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.50136080e-01 1.00000000e+00 9.49920676e-01 8.16584170e-01
 5.44939197e-01 2.48219761e-01 4.44903636e-04 0.00000000e+00
 0.00000000e+00 6.86543257e-01 9.88950488e-01 7.89661792e-03
 9.93391396e-01 0.00000000e+00 0.00000000e+00 5.36885263e-01
 7.81428054e-01 9.21684160e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 9.74246379e-01]",-1.6612680600980925,COMPLETE
8,0.7641601313659601,0.4428630002834677,42,243,"[9.96541102e-01 1.56264092e-01 9.74156445e-01 2.36147205e-02
 7.17006458e-01 7.38884761e-01 6.53990253e-01 6.91145844e-01
 9.94441689e-01 1.20060849e-01 9.46631460e-01 4.23457792e-01
 9.81226667e-01 5.99293654e-02 8.14035017e-01 9.95173878e-01
 8.96057589e-01 4.12062910e-03 9.82159356e-01 4.38448933e-03
 8.05636081e-01 7.09062185e-03 9.94756001e-01 5.32759983e-05
 7.52229271e-01 1.84337201e-02 9.76747730e-01 7.02068547e-01
 1.68087786e-01 9.55208182e-01 2.03168956e-01 9.87295060e-01
 8.58231387e-03 1.45689254e-08 6.05055790e-01 9.95818084e-01
 8.95458657e-01 3.21561590e-01 7.52613884e-01 9.40824699e-01
 9.99999785e-01 1.04501918e-02 3.68127693e-01 3.96718916e-01
 8.93027466e-01 6.50909401e-01 8.04750376e-03 3.85975658e-01
 1.20537859e-01 4.75836530e-01 8.07869970e-01 1.20205358e-01
 7.30871624e-01 5.05887093e-01 5.91168959e-01 9.21372401e-01
 4.84885820e-03 9.98196988e-01 3.21681609e-01 9.99370277e-01
 3.83574247e-01 9.86782915e-01 5.31502615e-03 7.61006433e-01
 6.55545667e-01 1.90407688e-01 5.36097450e-01 7.82083258e-01
 1.90397284e-04 4.89826160e-01 1.94707078e-04 9.98552272e-01
 1.05985257e-01 6.82266887e-02 3.12299358e-02 9.63750057e-01
 3.79611713e-01 7.76747839e-01 1.15893831e-03 9.98386504e-01
 6.54952294e-01 2.35465048e-01 7.46599500e-02 8.24550606e-01
 3.86978350e-02 9.97327263e-01 0.00000000e+00 6.20973738e-01
 4.86565200e-01 7.18747647e-01 5.91496701e-01 1.73478962e-01
 2.20228872e-01 1.57144267e-02 4.14628571e-01 8.96003306e-01
 9.08583506e-05 7.43781116e-02]",-3.5708980013401583,COMPLETE
9,0.2701457415914653,0.48922833951137423,186,151,"[9.98446085e-01 0.00000000e+00 8.84295130e-01 1.05220621e-01
 3.40574037e-01 4.58261543e-01 1.39583239e-01 4.82057973e-01
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00932037e-02
 1.00000000e+00 0.00000000e+00 9.99024642e-01 5.20310164e-04
 1.00000000e+00 1.59789893e-03 1.00000000e+00 1.81772200e-04
 9.89808135e-01 1.02465038e-04 9.98661098e-01 0.00000000e+00
 8.57989822e-01 0.00000000e+00 7.79878768e-01 4.92417424e-03
 5.69336898e-01 3.81804421e-01 5.85233450e-01 4.55791999e-01
 9.99881703e-01 1.11292377e-01 5.03408560e-01 5.53492388e-01
 5.89563116e-01 8.12218524e-01 4.28793086e-02 8.91970238e-01
 9.84698391e-01 1.54215019e-01 5.13677248e-01 6.56875864e-01
 6.29794662e-01 4.58065137e-01 1.98821599e-01 7.58354903e-01
 6.87635867e-01 2.28217937e-01 5.54876114e-01 5.22961594e-01
 6.33048803e-01 5.52172455e-01 3.49302981e-01 7.36761604e-01
 4.42895823e-01 6.88451841e-01 3.92735768e-01 9.30696560e-01
 2.65787020e-01 9.96876863e-01 3.40450040e-02 9.64960295e-01
 4.57535980e-01 2.80314047e-01 5.03734080e-01 7.55944580e-01
 5.87522290e-03 9.74807359e-01 1.61089701e-02 9.99083030e-01
 4.00703641e-01 5.19305227e-04 3.49552430e-01 7.16288378e-01
 2.64923164e-01 5.66399028e-01 1.53044555e-03 9.96710305e-01
 8.39366509e-01 1.00095406e-01 3.62854856e-01 3.85447783e-01
 1.60096299e-03 9.97673623e-01 0.00000000e+00 3.81344148e-01
 0.00000000e+00 6.65355068e-01 1.90814716e-04 6.24690943e-01
 2.22327003e-03 8.76203792e-01 2.21480464e-03 9.98384543e-01
 1.21205867e-04 9.79332253e-01]",-5.3688206654292525,COMPLETE
