trial_number,CR,F,G,size,best_positions,best_total_power,state
0,0.968540662820932,0.8860864625126346,113,191,"[0.92554842 0.01568113 0.84350635 0.77641617 1.         0.51070126
 1.         0.81244703 1.         0.29176205 1.         0.14238296
 1.         0.13691107 0.96879182 0.8061508  1.         1.
 0.83359659 0.14812617 1.         0.32222171 0.02735511 0.43075882
 1.         0.13564189 1.         0.09252545 1.         0.66580019
 1.         0.78600858 0.8898525  0.09620261 0.17793041 0.27788528
 1.         0.51196498 0.63944837 1.         1.         1.
 0.05042177 0.98104692 0.26686731 0.41076335 0.39928526 1.
 0.20005277 0.55795022 0.79899327 0.34022933 0.53044142 0.94587608
 1.         0.96124868 0.08839326 1.         0.03804046 0.76123738
 0.46966733 1.         0.17501265 1.         0.71579669 0.14638865
 0.56070974 0.43248602 0.0941321  0.33941414 0.08420042 1.
 0.13214721 0.82268078 0.25898436 0.48999558 0.58657334 1.
 0.27874592 1.         1.         1.         0.18307357 0.32297472
 0.3383829  1.         0.14005438 0.15461692 0.44123282 0.09221172
 0.1332091  0.56689609 0.24129256 0.63865209 0.02633412 0.63451047
 0.17963381 0.94983345]",-3.0760948041797533,COMPLETE
1,0.011398804277429897,0.3094554951795616,62,42,"[4.46936655e-01 7.77084514e-01 8.86334056e-01 1.00000000e+00
 2.11779959e-01 9.97854027e-01 8.54275528e-01 8.54716695e-01
 3.44353490e-01 8.82443712e-01 7.60265747e-01 8.79781147e-01
 9.28228735e-02 8.19693044e-01 8.60438334e-02 8.07059788e-01
 2.65599188e-01 2.22741485e-01 1.65481669e-01 4.15801817e-01
 9.92791262e-01 7.00638701e-01 3.93695863e-01 3.65696656e-01
 7.51543680e-01 5.73596716e-04 5.64270852e-01 1.93089552e-01
 9.32888458e-01 7.08692228e-01 2.74106421e-01 9.97783960e-01
 9.63399594e-01 1.44008198e-01 9.42157948e-01 5.07958337e-01
 8.84086113e-01 7.58211441e-03 9.45498229e-01 3.19642221e-01
 6.58467167e-01 1.11393740e-02 8.38719633e-01 4.49950359e-02
 1.95848409e-01 8.44503325e-01 7.36827209e-01 2.90042279e-01
 2.42872004e-01 8.51559191e-01 7.71440557e-01 4.51685608e-01
 4.78196009e-01 2.07098673e-01 9.67367759e-01 8.64320621e-01
 8.39688112e-01 9.77616899e-01 2.89917052e-02 6.57684124e-01
 4.34987860e-02 4.85732007e-01 5.17997674e-01 1.31507559e-02
 3.48935623e-01 9.27268651e-01 1.12005185e-01 4.28298780e-01
 1.67072202e-01 7.04500999e-01 1.71044604e-01 5.54867817e-01
 2.69336670e-01 3.48632162e-01 6.25695809e-01 8.65041113e-01
 1.35654131e-01 4.13769596e-02 3.36066397e-01 3.75672821e-01
 3.99363692e-01 5.50712933e-01 1.48508933e-01 8.88785792e-01
 2.79435836e-01 9.65712534e-01 5.77765258e-01 4.93980802e-01
 2.18059403e-01 4.56482449e-01 8.53095890e-01 5.87298421e-01
 1.44638490e-01 1.44972514e-01 6.80613787e-01 7.61347383e-01
 2.01923737e-01 2.86936682e-01]",-1.348502970365911,COMPLETE
2,0.47839179580240243,0.5704072042173127,119,65,"[1.         0.98054923 1.         0.26308389 1.         0.87341022
 0.92376917 0.68728416 0.0400459  0.82763429 0.09520558 1.
 0.92355554 0.87217684 0.77733453 1.         0.84911552 0.32884802
 0.84622721 0.33262754 0.74180439 0.13385579 0.8429426  0.0894764
 0.58458182 0.0095809  0.89004863 0.08745428 0.91685516 0.38101559
 0.91887915 0.77529499 0.70905603 0.24423274 0.49672627 0.45657692
 0.81622895 0.06417526 0.47952386 1.         0.83385829 0.22082778
 1.         0.45050599 1.         0.47222157 0.53213973 0.00621293
 0.5156461  0.17866681 0.11136696 0.23861635 0.23992015 0.87212639
 0.56064594 0.89493045 0.07969852 0.32765342 0.52596711 1.
 0.65629734 0.77447365 1.         0.09360231 0.22649645 0.71310103
 0.19505787 0.63751292 0.07566681 0.84162236 0.77570439 1.
 0.46894684 0.01383368 0.2427719  0.88564968 0.26587042 0.71615107
 0.00907671 1.         0.81408394 0.13844032 0.36262983 0.62517214
 0.09720928 1.         0.44768793 0.31903205 0.36225196 0.33124364
 0.19235817 0.01975036 0.12768882 0.7237702  0.08013875 0.03059812
 0.1433657  0.20472302]",-2.588065272421494,COMPLETE
3,0.7123745740820913,0.784806018042636,69,81,"[1.         0.29310641 1.         0.34173052 0.41114253 1.
 1.         0.87906343 0.7718445  0.41894602 1.         0.18942286
 1.         0.43505162 0.98918543 0.13826701 1.         0.41886316
 0.73505021 0.11544026 0.92617503 0.68504675 0.80153834 0.27019095
 1.         0.16107759 0.22287562 0.84910385 0.59171948 0.80706522
 0.42293747 1.         0.95359835 0.33032984 0.9428903  1.
 0.70643374 0.67960156 0.53940834 1.         0.78372951 0.5024296
 0.93816511 0.15723976 0.54693018 0.08340212 0.36085958 1.
 0.04983625 0.51226645 1.         0.01768314 0.22088971 0.35538615
 0.396474   0.91597891 0.02347738 0.52647213 0.95789725 0.51724802
 0.1374423  0.87515433 0.34801732 1.         0.51639277 0.58984464
 0.38388933 0.66130808 0.36375805 0.68814688 0.33313424 0.95477258
 0.40208225 0.36970064 0.23527089 0.27565928 0.33962087 1.
 0.51507902 0.70963516 0.37467235 0.14503977 0.12103828 0.98889196
 1.         0.78503779 0.379896   0.41535455 0.59070868 0.38661314
 1.         0.27729748 0.23388646 0.3997569  0.02671855 0.76968155
 0.06762552 0.05345162]",-2.208896948081209,COMPLETE
4,0.9738552412004462,0.3601675252162789,26,30,"[2.90845710e-01 5.73903445e-01 8.69132529e-01 9.88701646e-01
 7.68374221e-01 6.90294163e-01 9.14724992e-01 1.00000000e+00
 4.94151326e-01 7.98739685e-01 1.09043954e-01 3.71065406e-01
 2.79893750e-01 1.46574494e-01 1.71013020e-01 9.97083343e-01
 1.00000000e+00 4.36817597e-02 7.96141967e-01 6.37245974e-04
 1.00000000e+00 5.32003063e-01 2.33503396e-02 6.65889195e-02
 6.30556562e-01 2.54649361e-01 5.35864529e-01 8.06076929e-01
 6.43203445e-01 1.00000000e+00 3.85893844e-01 1.20505555e-01
 5.27326903e-01 3.44372513e-01 1.00000000e+00 7.15612930e-03
 7.99489487e-01 6.66377150e-02 1.00000000e+00 6.70033066e-01
 1.37762125e-01 9.52920922e-01 6.33876174e-01 8.31421097e-01
 8.95764749e-02 3.82909720e-01 1.89865761e-01 9.43576558e-01
 7.66342152e-01 7.00115852e-02 5.68888336e-01 1.01862729e-01
 9.18490253e-01 3.78476795e-01 1.00000000e+00 1.00000000e+00
 7.75172429e-01 6.79356815e-01 7.79240993e-02 3.87056257e-01
 1.22022722e-01 1.00000000e+00 9.04370321e-01 6.87136032e-01
 5.63711802e-01 6.15692332e-01 2.24164899e-01 9.79389571e-01
 1.90810895e-01 1.00000000e+00 3.26584500e-01 5.84494062e-01
 8.69589435e-01 4.62195953e-02 1.00000000e+00 1.00000000e+00
 6.20464511e-01 2.69701726e-01 3.18906690e-01 1.09047598e-01
 9.63076320e-01 9.00007220e-01 1.14302348e-01 1.22264907e-01
 4.20690480e-01 3.34854811e-01 1.04689723e-01 6.55082291e-01
 8.64153184e-01 1.85842653e-02 1.80725997e-01 3.32519879e-01
 2.66145473e-01 6.12404625e-01 9.60001764e-02 7.48358409e-01
 3.86186065e-01 8.21803780e-01]",-1.58166402154458,COMPLETE
5,0.9828705465534338,0.1592275490084903,43,15,"[0.81784062 0.89598342 0.94208072 0.5407858  0.78886789 0.97951398
 0.79098916 0.40727132 0.9840082  0.86968443 0.96045609 0.49346774
 1.         0.09208407 0.67437905 0.60706045 0.10891897 0.93483816
 0.92301907 0.08419592 0.91805954 0.67311174 1.         0.05766971
 0.16409384 0.21035983 0.57731118 0.34237709 0.00765378 0.01314642
 0.06592713 0.98107628 0.06970176 0.6902286  0.34240569 0.12554194
 0.97877411 0.2967696  1.         0.1652158  0.99089785 1.
 0.44481012 0.49820184 0.24835027 0.95575724 0.01453923 0.4559406
 0.73494353 0.07391523 1.         0.04047623 0.80415002 0.58761083
 0.52982551 0.71208676 0.40451424 0.98539106 0.24790611 0.92151374
 0.03846247 0.99139307 0.09658561 0.20363419 0.9123821  0.33218794
 0.84364734 0.9970741  0.30438856 0.93996564 0.15387092 0.99565161
 0.93882131 0.15776746 0.7878086  0.73383924 0.46422049 0.33937659
 0.57182752 0.24867772 0.97345018 0.17293439 0.90916479 0.21256529
 0.62749433 0.96374624 0.04332112 0.88265326 0.37710316 0.65946921
 0.05165616 0.2666821  0.00488179 0.0575459  0.15717118 0.99864834
 0.31396072 0.5425768 ]",-2.1081705570358578,COMPLETE
6,0.22476993896804542,0.16384856027517886,617,37,"[1.         0.008909   1.         0.05591986 0.6876539  0.36094244
 0.52894539 0.44094723 1.         0.0197456  0.98217766 0.06085536
 1.         0.02681152 0.98725252 0.06814602 0.90076822 0.00636386
 1.         0.03466429 0.98693957 0.02592875 1.         0.20626969
 0.94704672 0.02569935 0.88247013 0.02339663 0.33781903 0.95988236
 0.1964781  0.96188153 1.         0.1838965  0.44791229 0.51295617
 0.79994539 0.88614609 0.29273949 0.81561297 0.9855538  0.18974013
 0.16789546 0.88432151 0.32924073 0.50985501 0.02824223 0.77163941
 0.67471766 0.12984761 0.87526575 0.14433589 0.72042297 0.30320498
 0.62611805 0.58299761 0.15043033 1.         0.27473882 1.
 0.21257829 0.9905195  0.06501313 1.         0.63964573 0.09554171
 0.70439474 0.59741693 0.12836827 0.60180865 0.08042595 1.
 0.161345   0.31776046 0.10713233 0.85174514 0.22360104 0.76631222
 0.04795819 1.         0.88841942 0.2896025  0.22153569 0.38043793
 0.06417384 1.         0.00665397 0.59584956 0.04565061 0.63744915
 0.0829582  0.47910932 0.1434461  0.82657005 0.03391303 1.
 0.007804   0.82953924]",-5.0779642343092615,COMPLETE
7,0.9847494372852713,0.41091545079808034,49,10,"[0.84026527 0.38164217 1.         0.74462343 1.         1.
 0.80091461 0.81219511 0.04588789 1.         0.06816423 1.
 0.790376   0.72349037 1.         0.91447416 0.50912499 1.
 1.         0.53180745 1.         0.05448153 0.97927374 0.99044583
 0.1313628  0.01336876 1.         0.09375983 0.46263204 0.19812858
 0.94398835 0.53686708 0.94413366 0.56963671 0.95237719 0.01442015
 0.99999384 0.98419186 0.77241998 0.69748353 0.17754337 0.61830401
 0.99991342 1.         0.08136592 0.6542834  0.01278184 1.
 0.3760431  0.63023839 0.37794069 0.12724465 0.09482648 1.
 0.98303105 0.67897001 0.40173623 0.23862352 1.         0.90940902
 0.41350356 0.90910934 0.34694248 0.64352313 1.         0.42280595
 0.7684989  0.01574973 0.14678977 0.8880614  0.93725864 0.54216361
 0.16253861 0.11057733 0.10993497 0.46650982 0.80253648 0.68225937
 0.77933866 0.6515683  0.85553998 0.35291968 0.33500956 0.47626364
 0.68384509 0.89188504 0.19025417 0.16651803 0.23175235 0.21316441
 0.2049523  0.1601529  0.25161269 0.22899522 0.0998228  0.96839178
 0.15400828 0.59040204]",-2.139682686352677,COMPLETE
8,0.7641601313659601,0.4428630002834677,42,243,"[0.80539416 0.66924868 0.80035197 0.84204155 0.99383176 0.11014562
 0.79225107 0.88910463 0.92525709 0.65953331 0.8927377  0.02470464
 0.71044926 0.26931205 0.90550239 0.82086375 0.53064656 0.9781155
 0.71740478 0.20960963 0.98758343 0.77281426 0.29923112 0.55022018
 0.96485735 0.24584662 0.92920593 0.18855247 0.06957195 0.63329382
 1.         0.73053627 0.53093815 1.         1.         0.58739024
 1.         0.82676745 0.40370123 0.97525832 0.54556839 0.03452953
 0.59309047 0.65240063 0.49551709 0.74845943 0.35035963 0.8328577
 0.54748535 1.         0.36536942 0.52721443 0.78145502 0.10720046
 0.97342045 0.5764846  0.04577213 0.87932865 0.23913555 0.78905743
 0.04795519 1.         0.84869381 0.99519721 1.         0.29250419
 0.32662568 0.36988009 0.15435564 0.63438491 0.09582591 0.06423817
 0.01203404 0.09440406 0.02708014 0.97863554 0.38422615 0.59360734
 0.6641988  1.         0.15521319 0.88105947 0.31053836 0.90236933
 0.25448572 0.91525909 0.338762   0.18888777 0.04535893 0.67685354
 0.17098857 0.39629447 0.25167648 0.43430141 0.20614344 0.80712158
 0.2286541  0.48964241]",-1.9773489366200196,COMPLETE
9,0.2701457415914653,0.48922833951137423,186,151,"[1.         0.07452613 0.79197578 0.087536   1.         0.75929191
 0.97810552 0.94876771 0.99531922 0.697485   0.79195416 0.30825079
 1.         0.22413418 1.         0.01570854 0.97254946 0.23732474
 0.90303348 0.08167241 1.         0.76818967 0.86956222 0.15193929
 0.46235837 0.1184141  0.87428321 0.48864442 0.13000379 1.
 0.70800976 0.1180133  1.         0.06100372 0.94328619 0.32437897
 0.62214071 1.         1.         0.90444815 1.         0.72092949
 0.05097992 0.81010327 0.29290018 0.93374812 0.03712013 1.
 0.18886943 0.26866142 0.649293   0.95885981 0.86447314 0.58180756
 0.73402169 0.78057864 0.77712986 0.92594358 0.43417452 1.
 0.97439387 1.         0.39833007 0.74845076 0.55649466 0.11041578
 0.28617757 0.90236214 0.09502179 0.67229071 0.1472149  0.83516913
 0.36632128 0.20009075 0.19880123 0.82499243 0.81449353 0.12651975
 0.25841497 0.79404782 1.         0.13171908 0.00574029 0.65266792
 0.25498347 0.71913464 0.14010639 0.55300863 0.14419998 0.60114417
 0.03618563 0.20507347 0.35549291 0.60658754 0.14414315 0.91611367
 0.132592   0.58259757]",-3.1648967412684366,COMPLETE
