trial_number,CR,F,G,size,best_positions,best_total_power,state
0,0.968540662820932,0.8860864625126346,113,191,"[0.00364159 0.89477849 0.84825631 0.         0.97293702 0.
 0.58407498 0.51615667 0.         0.         0.34180365 0.
 1.         0.         1.         1.         0.00818915 0.
 0.92715534 0.         0.03858683 0.01910223 0.01721619 0.55065848
 0.85903265 1.         0.49352932 0.68215937 0.         0.0133067
 0.97041259 0.99958837 0.39655241 0.         0.88167106 0.
 0.97327616 0.         0.71840119 0.         0.97060874 0.98952222
 1.         1.         0.         0.55135251 0.70551114 1.
 0.06317053 1.         0.02642744 0.96349903 0.         0.30352935
 0.00439306 0.17120858 0.99190185 1.         0.0570594  0.
 0.93263183 1.         0.         0.         0.         0.94849203
 1.         1.         0.26181384 0.43271445 0.85484442 0.
 0.01092302 0.08608184 0.00433704 0.80920299 0.99852145 0.61535134
 1.         1.         0.09099919 0.13919858 0.         0.37875807
 0.79679812 0.52560547 0.49471144 0.         0.09620939 0.0089283
 1.         0.         0.86614361 0.39080334 1.         1.
 0.55789703 0.        ]",-4.03769591082962,COMPLETE
1,0.011398804277429897,0.3094554951795616,62,42,"[0.56781739 0.45832165 0.16295291 0.76883005 0.8395668  0.2346831
 0.66043366 0.46723634 0.79740787 0.9927004  0.34373495 0.29136361
 0.         0.62633624 0.02018986 0.38039415 0.59474873 0.66228932
 0.18095818 0.61212868 0.05539218 0.91280649 0.90850807 0.17838352
 0.78239492 0.98488841 0.51279039 0.00175601 0.86866194 0.02757972
 0.8988545  0.2284105  0.32274844 0.39905846 0.41614839 0.48992351
 0.1459479  0.55740083 0.45287148 0.08736153 0.80434109 0.81376015
 0.04179138 0.77657473 0.315966   0.3311374  0.98644305 0.57575062
 0.42915721 0.16621571 0.57899802 0.30500843 0.94742629 0.93012073
 0.38271991 0.00859419 0.11769301 0.20369863 0.04945251 0.7897619
 0.69967105 0.83902205 0.32913252 0.23886429 0.14924217 0.75188168
 0.38821969 0.17080227 0.09795807 0.58953209 0.34008275 0.97359421
 0.18727151 0.         0.20162937 0.17665048 0.17746921 0.66030349
 0.18345333 0.75056371 0.30890093 0.83091131 0.60473833 0.69636775
 0.64063496 0.88308653 1.         0.6131171  1.         0.254357
 0.61009259 0.         0.         0.93321309 0.34136313 0.48608093
 0.87840371 0.72311873]",-0.683651512235474,COMPLETE
2,0.47839179580240243,0.5704072042173127,119,65,"[0.         0.68703545 0.         0.00386464 0.44371201 0.03969784
 0.05488648 1.         0.065115   0.76655062 0.49118182 0.57547903
 1.         0.71356467 0.85369651 0.33323712 1.         0.77380658
 0.90032998 0.52047777 1.         0.91770209 0.24598852 0.69427904
 1.         1.         0.02570119 0.23367032 0.         0.49562749
 0.08159565 0.01873521 0.         1.         0.91763266 0.15500187
 1.         0.18966526 0.18111478 0.01910792 0.94684428 0.91767423
 1.         0.65811729 1.         0.         0.10490005 0.98149023
 0.17371268 0.16063978 0.09209323 0.98465013 0.         0.17653286
 0.01574607 0.09423271 0.0064013  0.         0.         0.87110139
 1.         0.00934686 1.         0.93262751 0.         1.
 0.6239766  0.07177561 0.         0.93955931 0.         0.56947588
 0.         0.43221554 0.         0.40933749 0.96822265 0.39040242
 1.         1.         0.11856534 0.95773167 0.0068207  0.98468677
 1.         0.24797832 0.         1.         0.94495812 0.51938327
 0.12795592 0.05443744 0.9090909  0.99864766 0.99885153 0.
 0.77621463 0.09458279]",-4.915584066136316,COMPLETE
3,0.7123745740820913,0.784806018042636,69,81,"[0.05954051 1.         0.         0.         0.37744852 1.
 0.35268252 0.75643892 0.94285637 1.         1.         0.82551246
 1.         0.54358888 1.         0.30096766 0.76712776 0.55737506
 0.28970344 0.57746614 0.05895003 0.         0.0955238  0.13147052
 0.84766379 1.         0.01628656 0.         0.         0.30726854
 0.33920489 0.8495195  0.41329034 0.02198267 0.99629759 0.
 1.         0.22255351 0.97305119 0.00111321 0.62605737 0.87395795
 0.55457571 0.75923492 1.         0.14788178 1.         0.98507522
 0.76342053 0.43591821 0.01475026 0.77053744 0.         0.12464347
 0.         0.15337523 1.         0.45929666 0.         0.65821072
 0.78480602 0.74218988 0.01905464 1.         0.04856451 0.
 1.         0.1846406  0.19832247 1.         1.         0.31809665
 0.         0.         0.06751507 0.83780643 1.         0.33296953
 1.         1.         0.09523088 0.96988477 0.         1.
 0.         0.40949644 1.         1.         0.14917091 0.64941319
 0.79970542 1.         0.95837129 1.         0.99940311 1.
 0.49311328 0.        ]",-3.8946322615911164,COMPLETE
4,0.9738552412004462,0.3601675252162789,26,30,"[5.24777563e-01 1.00000000e+00 3.52700363e-02 7.20243259e-01
 2.08923928e-02 2.84135319e-01 4.56318056e-01 9.98920090e-01
 6.51009468e-01 9.98256727e-01 5.49377979e-01 3.91405464e-01
 1.73665357e-04 9.85264728e-01 7.42410344e-01 1.49618865e-03
 1.00000000e+00 1.10535660e-01 1.00000000e+00 9.80135609e-01
 8.44598718e-02 6.94001257e-01 7.18029152e-01 5.74666413e-01
 0.00000000e+00 4.22534022e-01 1.85361150e-02 6.82885863e-01
 8.07709756e-01 8.98829950e-02 2.93369586e-01 0.00000000e+00
 8.81467287e-01 5.85151180e-01 6.18636901e-01 1.00000000e+00
 9.79337062e-01 5.17549356e-02 9.95664033e-01 3.88706019e-01
 9.78303903e-01 8.19723546e-01 6.91918818e-01 9.69396057e-01
 3.25784719e-01 1.63906765e-02 8.05156034e-02 5.26180725e-01
 2.90886273e-01 8.36253948e-01 8.27568846e-01 9.65337608e-01
 7.05875506e-01 5.65638390e-01 1.60187108e-01 9.93817395e-01
 5.01507211e-03 9.91792127e-01 9.09831932e-02 9.49930373e-01
 6.85810392e-01 9.76182812e-01 4.98544303e-01 7.06745325e-02
 1.53558726e-01 1.60570943e-01 6.16833992e-01 2.90803843e-01
 9.64435920e-01 9.76169696e-01 4.86948712e-01 4.35313417e-02
 5.34115412e-01 3.77502808e-01 9.79784687e-01 9.42526411e-03
 5.27310132e-01 5.13703707e-01 1.10369843e-01 1.00000000e+00
 5.45203942e-01 9.99488540e-01 6.96188427e-01 8.19888445e-01
 8.14010807e-01 8.32867095e-01 1.71141578e-01 8.38490180e-01
 8.63355979e-01 2.02738352e-01 5.88408050e-01 7.59030102e-01
 4.82822275e-01 5.35361315e-01 8.98633682e-01 9.91972259e-02
 4.91209331e-01 6.39123167e-01]",-1.4382985322866755,COMPLETE
5,0.9828705465534338,0.1592275490084903,43,15,"[0.07362786 0.62817702 0.40466298 0.12295855 0.90581307 0.60311415
 0.21773339 0.76582651 0.89897338 0.69562251 0.24171082 0.45101901
 0.76409334 0.34830945 1.         0.47212538 0.7374789  0.99270956
 0.41454837 0.09990881 0.59480738 0.22598085 0.62683065 0.00315769
 0.92244721 0.12850611 0.39655273 0.57737337 0.39291395 0.52371704
 0.87529212 0.06845896 0.34562769 0.64006749 0.09633304 0.18116952
 0.29129056 0.84892581 0.10993722 0.12969627 0.65390803 0.90840371
 0.54544875 0.63196858 0.77666979 0.27347751 1.         0.84387432
 0.45020603 0.81597951 0.61050503 0.7015594  0.66321676 0.95693505
 0.35961717 0.27188712 0.90736064 0.26820986 0.69336787 0.91400009
 0.87037199 0.89300607 0.00444351 0.58873021 0.56252121 0.17751101
 0.57081996 0.86470794 0.10505217 0.85910301 0.45438422 0.38635511
 0.86992836 0.32811921 0.72363378 0.34593507 0.02494332 0.18315992
 0.49476425 0.50526892 0.33469791 0.48877484 0.99886754 0.26774193
 0.80522789 0.11505126 0.8827707  0.79261484 0.88359568 0.93990499
 0.67710863 0.62538251 0.44726323 0.32073182 0.22988759 0.69671723
 0.3580377  0.82166304]",-0.5682785390389506,COMPLETE
6,0.22476993896804542,0.16384856027517886,617,37,"[1.71864357e-05 4.07427244e-01 9.00809376e-01 1.26074114e-02
 1.73846427e-01 3.71533718e-01 9.81213817e-01 7.92825981e-01
 4.69812838e-01 1.77340733e-01 3.25031803e-02 1.09180853e-03
 1.48491075e-01 4.34398417e-01 7.58489407e-01 3.63845911e-01
 5.28778944e-02 1.00000000e+00 8.38901288e-01 8.51791470e-01
 3.00529709e-03 3.21002354e-05 6.59243695e-01 8.52427278e-03
 9.64874501e-01 9.05857252e-01 1.57369687e-01 8.06199801e-01
 0.00000000e+00 9.01922102e-01 9.99793373e-01 8.36850859e-01
 5.35860902e-01 5.42919074e-02 0.00000000e+00 1.60257279e-01
 9.67429787e-01 1.16721855e-01 6.95227477e-02 2.27260877e-01
 6.33502082e-01 6.34841910e-01 8.18520338e-01 8.96415881e-01
 9.09777942e-02 1.50742688e-01 7.65004093e-01 8.17944094e-01
 4.46143530e-01 2.48094454e-01 2.43700953e-01 9.29497530e-01
 4.62303604e-03 2.39625034e-01 2.26388416e-01 1.58631537e-01
 9.99977508e-01 2.35800396e-01 8.18343841e-01 7.72365510e-01
 7.02680654e-01 6.11941107e-01 4.47984764e-01 9.95794681e-01
 6.86907758e-01 5.43896093e-01 9.99889450e-01 2.46919164e-01
 0.00000000e+00 8.30748086e-01 1.46858327e-01 2.35946315e-01
 3.06864271e-02 4.01377408e-01 9.99502478e-01 5.06840163e-01
 9.68918117e-01 3.49565036e-01 1.67596840e-01 9.99793970e-01
 3.24268161e-01 3.42444147e-01 2.72114641e-01 8.20782852e-01
 4.97502890e-01 8.81545551e-01 9.55783616e-03 1.00000000e+00
 8.54522489e-01 5.13110432e-02 2.49512376e-01 9.79534495e-01
 9.54898898e-01 8.24839294e-01 8.67418363e-02 3.42500170e-01
 8.42233856e-01 4.23452412e-01]",-4.22769876161886,COMPLETE
7,0.9847494372852713,0.41091545079808034,49,10,"[1.68237678e-01 2.75554809e-02 9.99353290e-01 4.67209329e-01
 9.59911231e-01 9.96366035e-01 8.33830891e-01 9.97838268e-01
 1.00000000e+00 4.73955456e-02 1.75228957e-01 4.10193984e-02
 9.26699083e-01 9.99391867e-01 8.98060991e-01 6.25709876e-01
 1.15023382e-01 7.34790393e-03 7.96293374e-02 1.00000000e+00
 7.93192054e-02 1.72475588e-01 8.48678550e-01 0.00000000e+00
 6.22904916e-02 5.39901198e-01 8.69661561e-02 6.31370335e-04
 1.93221846e-01 4.88429504e-01 8.38966530e-01 9.80464658e-01
 7.30138640e-01 7.83261398e-01 3.29668693e-01 9.98106881e-01
 5.92067704e-01 3.71177839e-04 8.09337681e-01 1.00000000e+00
 4.27793781e-01 9.81229740e-01 2.97837178e-02 3.90434337e-01
 7.12060987e-01 8.30468867e-02 5.11536622e-01 8.30184143e-01
 2.12006140e-01 4.05908919e-01 5.10377334e-01 9.81200637e-01
 6.14202807e-01 3.87106443e-01 1.54223656e-01 4.40878248e-01
 5.12329151e-01 9.06976765e-01 9.34407503e-03 1.24109006e-02
 9.59044921e-01 7.87570566e-01 0.00000000e+00 9.94484113e-01
 0.00000000e+00 1.57099433e-01 6.01517373e-01 2.88958765e-01
 1.00000000e+00 6.58628188e-01 9.93970210e-01 2.10387603e-01
 7.53580121e-01 1.03249282e-01 9.18517853e-01 9.58189959e-02
 3.04906083e-01 9.68223057e-01 4.45736904e-03 4.15109070e-01
 8.66869221e-01 5.66865738e-01 1.47808265e-02 2.74766397e-01
 7.41876442e-01 3.34623552e-01 1.00000000e+00 5.80368465e-01
 8.25235561e-01 7.50034365e-01 1.56540577e-01 4.11157898e-01
 2.78133647e-01 7.72781981e-01 5.94233164e-03 9.86155236e-01
 7.91270607e-01 4.39459533e-02]",-1.714460959766246,COMPLETE
8,0.7641601313659601,0.4428630002834677,42,243,"[2.73050255e-04 4.80789557e-01 6.84114663e-04 1.35985757e-02
 3.04195769e-01 5.74931608e-01 5.79375629e-01 8.50789796e-01
 9.97923371e-01 1.71394073e-01 2.69560876e-01 2.61420498e-01
 9.47086051e-03 9.89636975e-01 9.20036897e-01 3.03358324e-01
 2.51562487e-01 2.42657926e-02 9.99904668e-01 3.41240892e-01
 1.11785477e-02 0.00000000e+00 9.26551345e-01 6.97066412e-02
 1.74968750e-05 4.16786833e-01 3.52629728e-01 7.94930481e-01
 0.00000000e+00 7.21268466e-01 4.53652476e-02 5.82549978e-01
 3.66747527e-01 3.31956043e-01 7.22069144e-01 2.25764153e-03
 8.52632758e-01 8.68187115e-02 3.22585790e-02 7.08630909e-02
 5.51121844e-01 8.05402201e-01 8.88325251e-01 1.85052680e-02
 9.32909117e-01 3.29443638e-02 7.36204338e-01 9.19981743e-01
 3.30596425e-01 2.92155683e-01 7.09476868e-01 9.99739147e-01
 1.00000000e+00 5.74744120e-01 4.11187615e-01 5.60441340e-02
 2.58192081e-01 8.79386478e-01 4.79527827e-01 6.72681943e-01
 1.65838628e-03 4.06405804e-01 5.54619785e-01 9.99817599e-01
 6.29509826e-01 6.36159193e-01 4.03555254e-02 3.87473447e-01
 7.85008734e-01 6.19592167e-01 2.21287418e-01 6.43827526e-01
 9.98560025e-01 9.96316053e-01 5.18393391e-02 0.00000000e+00
 9.94208310e-01 6.31730662e-01 9.74687898e-01 9.99994029e-01
 7.43788882e-01 3.26588214e-01 9.99982489e-01 3.56357384e-01
 9.10935518e-05 4.21562545e-01 9.99909179e-01 9.10497805e-01
 6.25406451e-01 7.03414477e-01 1.00485267e-01 8.85917566e-01
 1.55686686e-01 3.81530197e-01 1.98511885e-02 2.61099214e-01
 6.65604099e-01 2.57704636e-03]",-3.739925703613984,COMPLETE
9,0.2701457415914653,0.48922833951137423,186,151,"[0.11608643 0.79170083 0.05549957 0.0051967  0.99900283 0.46973588
 0.38316364 0.85063502 0.87606888 0.75308302 0.00368383 0.4884326
 1.         0.49599407 0.96221179 0.98858146 1.         0.25980123
 0.         0.95984687 0.         0.6960325  0.00569247 0.
 0.         0.55878809 0.         0.05594754 0.37539406 0.
 0.99223118 0.75637184 0.23888549 0.21468476 1.         0.03223682
 0.99860404 0.23855575 0.994854   0.30248915 0.9992668  0.23458602
 0.04267778 0.02009847 0.99984157 0.63652795 0.2721347  1.
 0.99279713 0.8431613  0.60107892 0.84622894 0.08531    0.
 0.         0.16132274 0.13043813 0.05144879 0.04287317 0.27578119
 0.64896779 0.62079251 0.0071957  0.13826796 0.92117548 0.
 0.99830413 0.02069318 0.38259956 0.91090187 0.98534341 1.
 0.00586345 0.07134772 0.         0.62060269 0.33964032 0.21793927
 0.95248922 1.         0.18420983 0.94709353 0.99889126 0.88587089
 0.54532133 0.06072066 0.87759845 1.         0.28015821 0.71305788
 0.         0.30021338 1.         1.         0.78577519 1.
 0.42071193 0.06507305]",-5.410844245451817,COMPLETE
