trial_number,CR,F,G,size,best_positions,best_total_power,state
0,0.968540662820932,0.8860864625126346,113,191,"[0.08161593 0.1500384  0.39933931 0.22474235 1.         0.47742516
 1.         0.95492768 0.27019398 0.73647707 1.         0.53574909
 0.3978125  0.26740021 0.70117318 1.         0.89531272 0.8369752
 0.8531699  0.65914005 1.         0.54003716 0.30536166 0.06816584
 1.         0.66080308 0.4167184  0.24698969 0.45570004 1.
 1.         1.         1.         0.74748818 0.46135099 0.25130966
 1.         0.34995521 0.36272906 1.         0.83287158 1.
 0.8240422  0.79968179 0.40832843 0.55146514 0.11631864 0.88464144
 0.38217589 0.29176885 1.         1.         1.         0.99785849
 0.92648123 0.0785386  0.0587622  0.52771499 1.         1.
 0.69497072 1.         0.23563808 1.         0.64836414 0.39419262
 0.33575838 0.25705228 0.28921477 0.68984126 0.43387399 1.
 0.01042404 0.16527858 0.0585807  0.00260752 1.         0.56317752
 1.         1.         1.         0.57429377 1.         1.
 0.44424584 1.         0.63390028 1.         0.31756623 0.4517183
 1.         0.31532642 1.         0.28038065 1.         0.45793188
 0.80804082 0.85400947]",-2.921477546353694,COMPLETE
1,0.011398804277429897,0.3094554951795616,62,42,"[0.80876756 0.87908821 0.16084801 0.61054707 1.         0.33266861
 0.51564219 0.30208496 0.90031764 0.31130255 0.78423434 0.2712893
 0.44427165 0.05583624 0.92357172 0.2424846  0.87503798 0.18075494
 0.81377389 0.38141882 0.746468   0.25956641 0.97516615 0.19830599
 0.75947498 0.14880195 0.13035328 0.53039541 0.64973557 0.96108824
 0.11579001 0.43611753 0.36195038 0.45573011 0.86445133 0.10380287
 0.96305839 0.95124582 0.24271156 0.29839403 0.75617612 0.06053674
 0.01520927 1.         0.78374106 0.42425823 0.91432562 0.90135571
 0.97744754 0.35477982 0.25440284 0.25628842 0.0841323  0.97738817
 0.78222043 0.10087929 0.76378577 0.58932665 0.34242905 0.31237857
 0.36400605 0.35456129 0.31305159 0.03156809 0.91563401 0.13921534
 0.16562556 0.00662355 0.66622849 0.26881427 0.22428387 0.1404813
 0.27033998 0.08488675 0.97263358 0.98937677 0.56267007 0.03300183
 0.81070207 0.33982634 0.28492234 0.43013161 0.31743432 0.34043808
 0.60473861 0.56887572 0.77014153 0.61472637 0.92791997 0.99615033
 0.94304509 0.00886918 0.3521473  0.47421169 0.26939321 0.55151089
 0.11322848 0.735709  ]",0.1786799451875559,COMPLETE
2,0.47839179580240243,0.5704072042173127,119,65,"[0.51226396 1.         0.83635245 0.5918169  0.00854828 0.73757889
 0.46531831 0.81082922 0.17834216 0.91016861 0.34816599 0.56540608
 0.10874718 0.09514054 0.75405197 0.6764734  0.54260717 0.15461349
 0.73416679 0.49665965 1.         1.         0.61924072 0.79758333
 0.93433227 0.74399291 0.81689797 0.07266098 0.32502193 0.02961205
 0.63967569 0.4207573  0.72698269 0.62685083 0.85578253 0.35873394
 0.79145709 0.73268477 1.         0.15314937 1.         0.43173778
 0.6141851  1.         0.12302556 0.71397573 0.05571698 0.88825316
 0.22480012 0.04104803 0.77042301 0.83005219 0.0174864  0.6974603
 0.75543024 0.05898269 0.6999173  0.62155604 0.11168189 0.37571813
 1.         0.17683803 0.52802836 0.54325039 0.22026112 0.84178506
 0.89068951 0.87365332 0.24626799 0.22212561 0.34386623 0.80492859
 0.19731802 0.3730542  0.56589491 0.40014258 0.76229353 0.65637293
 0.97202076 0.17434633 0.03816215 1.         0.94170575 0.9367728
 0.47476326 0.70522356 0.23195856 0.27322514 0.61910041 0.23080469
 0.26109518 0.17814882 0.55368061 0.4484604  0.88240405 0.65365051
 0.13818345 0.61988014]",-1.5661792810800168,COMPLETE
3,0.7123745740820913,0.784806018042636,69,81,"[1.         0.48225784 0.71528475 0.8898642  0.32536505 0.3227395
 0.54862602 0.10698199 1.         0.38493123 0.07647427 0.21522676
 0.16506964 0.31029333 1.         1.         1.         0.97617653
 0.87754405 0.15383043 0.87806303 0.29808572 0.03631315 0.2669227
 0.81286107 0.50465595 0.24247191 0.91439027 0.38155022 0.08235497
 1.         0.92180252 0.69341529 0.90993112 0.00906656 1.
 0.44333921 0.36750741 0.01148874 0.46788145 1.         0.97863995
 0.37994515 0.43313604 1.         0.57452074 1.         0.70902451
 0.99487571 0.69247523 1.         1.         1.         0.33989426
 0.35799338 0.09334205 0.50593695 0.77600757 0.16658245 1.
 0.55737351 0.75435575 0.00956361 0.2107791  0.09668534 0.21464813
 0.97298277 0.29248435 0.23380095 0.70057091 0.36388201 0.37505607
 0.14538074 0.33020674 1.         0.97058826 0.19816725 0.38159701
 0.95700548 0.42817468 0.20956496 0.55310973 0.52059112 0.95322577
 0.89116998 0.95534516 0.66869813 0.01614722 0.44673284 0.19407857
 0.96509749 0.6094607  0.8301518  0.97749912 0.07492309 1.
 0.77605092 0.86407294]",-1.9206696452434584,COMPLETE
4,0.9738552412004462,0.3601675252162789,26,30,"[0.07068569 0.6979805  0.11682282 1.         0.05721266 0.18086413
 0.28249514 0.5748971  0.84364436 0.0044305  0.91488194 0.69190965
 0.43618894 0.72196354 0.91799205 0.36249844 0.74952163 0.50563208
 0.36106032 0.3290231  0.54628145 0.49881043 0.12464523 0.70829015
 0.40947971 0.43680523 0.16346741 1.         0.03199028 0.16239783
 0.59796744 0.79512293 0.56086643 0.31314882 0.53537253 0.34176167
 0.54744269 0.34576836 1.         0.26531839 0.76138924 0.93484744
 0.140729   0.56695181 0.77885203 0.19424862 0.14967284 0.98719269
 0.95480788 0.56485957 0.99079352 0.09897746 0.49934148 0.19162847
 0.97243563 0.1944895  0.08851338 0.16996306 0.10807239 0.99703317
 0.68535963 0.17135745 0.33687445 0.99714265 0.3822704  0.17652282
 0.99267272 0.3408178  1.         0.66318442 0.80955471 0.40321631
 0.99957432 0.38891051 0.07246964 0.79988763 0.07831728 0.67368748
 0.13015435 0.28519139 0.38921158 0.71422774 0.77334502 0.12641607
 0.61783687 0.58229317 0.43454629 0.74674266 0.91830541 0.27205858
 0.75947326 0.65739401 0.14622735 0.6404412  0.78706213 0.29229356
 0.61311142 0.5558635 ]",-2.1153252287430693,COMPLETE
5,0.9828705465534338,0.1592275490084903,43,15,"[0.02479079 0.68042124 0.84614455 0.0929971  0.43784611 0.9862749
 0.63959141 0.68404107 0.97435481 0.14090451 0.98137674 0.17195441
 0.23445358 0.23424343 0.86109002 0.2497045  0.92898884 0.98218323
 0.83507076 0.84183403 0.05154849 1.         0.9215835  0.34389079
 0.98198819 0.63283947 0.91181103 0.56356305 0.96400965 0.69886086
 0.76294467 0.49727086 0.32260628 0.93838021 0.2412791  0.64976397
 0.97732716 0.51969437 0.43023708 0.80235669 0.4149479  0.20009941
 0.94830965 0.50047808 0.50811837 0.67688825 0.89059443 0.66511452
 0.63338215 0.70891844 0.21574252 0.20782217 0.1308442  0.62923831
 0.69774107 0.96580387 0.99339998 0.08503195 0.99315789 0.91046992
 0.57267507 0.19575186 0.42471688 0.40094775 0.63724151 0.99588316
 0.33820081 0.15839725 0.36707523 0.71544124 0.07440234 0.99573546
 0.98660685 0.94566349 0.42653004 0.84862128 0.16790834 0.51442105
 0.58939865 0.89614503 0.53491866 0.29908972 0.7332896  0.28555592
 0.85980964 0.16245152 0.55304375 1.         0.99565516 0.43014972
 0.99877111 0.57537898 0.99789164 0.18047828 0.12001713 0.31508921
 0.87479147 0.11792547]",-1.131747513881001,COMPLETE
6,0.22476993896804542,0.16384856027517886,617,37,"[0.07839796 0.41024568 0.31791742 0.50078849 0.13964226 0.78909119
 0.61315019 0.74763258 0.62680399 0.00901473 0.80377958 0.26464265
 0.62256371 0.17386001 0.83626347 0.72173376 0.70271485 0.7850883
 0.32936912 0.76657236 0.16952242 0.69565899 0.76872458 0.01964033
 0.23868087 0.28793329 0.01205487 0.20768538 0.1034815  0.04755074
 0.95174298 0.60705616 0.36565622 0.78296589 0.89034327 0.82448376
 0.08926483 0.53455479 0.93555394 0.3014108  0.53526423 0.22182889
 0.19810573 0.72112173 0.29023693 0.68909526 0.90570005 0.2410024
 0.64032985 0.83567244 0.05362272 0.06362127 0.21326001 0.22192209
 0.63175705 0.04416817 0.37772447 0.71505915 0.2147001  0.46372776
 0.67012859 0.61323334 0.07314899 0.95307299 0.87851497 0.2822021
 0.09374055 0.7528088  0.73729821 0.24224883 0.63414158 0.58509217
 0.11717044 0.26190022 0.51830038 0.03431576 0.09938817 0.33498497
 0.62382228 0.94672893 0.42138097 0.08350552 0.70445263 0.11266854
 0.51605838 0.92390948 0.967677   0.27176777 0.90719398 0.08215787
 0.69109591 0.09035548 0.84725446 0.09557799 1.         0.49218411
 0.66176624 0.6878026 ]",-0.9116398316818337,COMPLETE
7,0.9847494372852713,0.41091545079808034,49,10,"[0.02587023 0.66297467 0.40613577 0.65876387 0.59521804 0.73466835
 0.25672282 0.09393982 0.32394737 0.73295368 0.98667733 0.32190171
 0.43744085 0.33525761 0.90275049 0.4272717  0.50676146 0.24598048
 0.14439211 0.95038194 0.99832856 0.05132379 0.07945522 0.82966867
 0.42685516 0.73552935 0.95692494 0.54282945 0.72370012 0.39616596
 0.97654479 1.         0.75788012 0.53068875 0.91511759 1.
 1.         0.30855796 0.76148031 0.96766261 0.01628619 0.61946523
 0.71368713 0.73677271 0.43473578 0.73844392 0.13777508 0.76713892
 0.45811023 0.99602862 0.81996067 0.23480518 0.86898431 0.49874815
 0.71058901 0.20774766 0.56427561 0.49319435 0.95841017 0.7966953
 0.56983893 0.7639244  0.6155146  0.2457541  0.25419333 0.75305816
 0.65473449 0.43805832 0.61449592 0.29647409 0.20022976 0.55437284
 0.80956794 0.4034271  0.82333255 0.35460673 0.23113941 0.45196722
 0.98569927 0.94622654 0.58995305 0.61412013 0.93788602 0.02089854
 0.96526752 0.91574173 0.07428958 1.         0.84757638 0.99281497
 0.4838366  0.74053476 0.73127278 0.52278967 0.2040469  0.73991671
 0.59751276 0.44440001]",-1.721197334975128,COMPLETE
8,0.7641601313659601,0.4428630002834677,42,243,"[0.11544115 0.01868944 0.01410215 0.22164045 0.27824051 0.76422776
 0.7775539  0.85593445 0.15965235 0.20515739 0.09201672 0.80286458
 0.24150295 0.54357467 0.38983137 0.96819173 0.19089178 0.3412552
 0.5708861  0.63007507 0.91869534 0.15166995 0.80142677 0.80845059
 0.95905301 0.31403388 0.70889696 0.50125991 0.05231895 0.65758756
 0.29440898 0.67075812 0.60516123 0.38186847 0.94902371 0.51183965
 0.88702927 0.14507812 0.70533457 0.49653304 0.55831485 0.20631734
 0.09842155 0.63172333 0.25320642 0.6028129  0.92439057 0.81805583
 0.41598254 0.62598578 0.09939016 0.43310589 0.97313469 0.01131076
 0.06546985 0.35857482 0.72443511 0.10755338 0.01131145 0.88994361
 0.72437891 0.67125992 0.02160592 0.51072578 0.85214564 0.12456794
 1.         0.32912497 0.65007978 0.88641099 0.00836117 0.61823433
 0.05305374 0.14673686 0.88865465 0.27216471 0.58859047 0.37957562
 0.27285633 0.97034918 0.12846718 0.73505421 0.95188058 0.10485706
 0.42075458 0.43196941 0.53590834 0.62622244 0.38646667 0.63439128
 0.77753636 0.84640182 0.79856847 0.92158645 1.         0.3032989
 0.35113045 0.6354575 ]",-1.9842650759809088,COMPLETE
9,0.2701457415914653,0.48922833951137423,186,151,"[0.14297869 0.41310815 0.05368977 0.41956335 0.18196572 0.41875793
 0.09416965 0.15619877 0.44191145 0.88822175 0.57257055 0.4327752
 0.84849702 0.22528605 0.54038452 0.95097825 0.72665204 0.13725072
 0.86208402 0.28233019 0.20700064 0.34589866 0.18111674 0.00671288
 0.98009489 0.46613116 0.11890311 0.30549541 0.37466508 0.3010028
 0.86242072 0.80305212 0.79284017 0.24611583 0.09757441 0.61877541
 0.89433837 0.26210916 0.3088326  0.56687735 0.80852619 0.07553064
 0.05867609 0.79628307 1.         0.10496288 0.12881877 0.70546452
 0.98854162 0.36125455 0.65132192 0.68907037 0.91902023 0.37820725
 0.78628593 0.20566952 0.45317823 0.45806499 0.05701452 0.93595984
 0.53724515 0.71384037 0.39371916 0.28480079 0.58108847 0.61233158
 0.04311441 0.84964025 0.60990054 0.31723511 0.90936955 0.05547219
 0.64680068 0.87208539 0.12458954 0.28214702 1.         0.12715393
 0.97151159 0.78441549 0.33597094 0.76028681 1.         0.931416
 1.         0.93359656 0.08248374 0.47959036 0.97311776 0.93588703
 0.08923579 0.54910133 0.45529333 0.0741733  0.98970221 0.64685688
 0.89394393 0.51378792]",-2.179197010889027,COMPLETE
