trial_number,CR,F,G,size,best_positions,best_total_power,state
0,0.968540662820932,0.8860864625126346,113,191,"[0.         0.         0.90729633 1.         0.15279006 1.
 1.         0.         0.         0.         0.         0.
 0.         0.         0.         1.         0.77116901 1.
 1.         0.         1.         1.         0.9207492  0.65659371
 1.         0.77203467 1.         1.         0.         0.01910311
 0.06842075 0.83197263 0.55008136 0.53928267 0.7650153  1.
 1.         0.44628225 1.         1.         1.         0.98512139
 1.         0.71871277 0.         0.         0.         0.58980046
 0.         1.         0.11391354 1.         1.         0.
 0.         1.         0.         1.         0.         1.
 1.         1.         0.         1.         1.         1.
 0.40685437 1.         1.         0.46495533 0.14285607 1.
 0.08235835 0.41865272 1.         1.         1.         1.
 0.98441735 0.         0.         1.         0.30081463 0.38017197
 0.83114815 1.         0.         0.5904982  0.         0.
 0.         0.         0.86937941 0.53999647 0.88906728 1.
 0.85324939 1.        ]",-3.6970094305186922,COMPLETE
1,0.011398804277429897,0.3094554951795616,62,42,"[0.8171087  0.19259432 0.14499407 0.39352562 0.90986971 0.77497101
 0.00483278 0.7998108  0.91081092 0.58673009 0.67493995 0.71249799
 0.44019302 0.46871272 0.79765312 0.77264345 0.05557858 0.09748782
 0.17374606 0.67625781 0.         0.66956706 0.69224935 0.11554559
 0.83114303 0.46141677 0.61862131 0.35426484 0.26079461 0.89058227
 0.02500155 0.55725753 0.63371801 0.44595156 0.1196047  0.20879936
 0.53263486 0.13225095 0.22039228 0.         0.92815316 0.91442154
 0.10110393 0.54958682 0.15216674 0.4040182  0.76012506 0.82912312
 0.63309652 0.40890018 0.01111038 0.81228215 0.12049511 0.20044106
 0.57334606 0.         0.40610471 0.24510321 0.48920831 0.79142087
 0.14703653 0.30237463 0.92147101 0.90030477 0.3907066  0.33191981
 0.65787893 0.61466126 0.88635813 0.69174185 1.         0.39689405
 0.15554227 0.11160904 0.15407681 0.25256235 0.55424344 0.16882708
 0.84007166 0.52492127 0.1701992  0.09429945 0.9909164  0.03173207
 0.46908035 0.75271743 0.3026638  0.7421813  0.45717991 0.62838121
 0.         0.61497878 0.06737678 0.58899534 0.78119927 0.41456275
 0.0504247  0.72644943]",-2.2647376610172083,COMPLETE
2,0.47839179580240243,0.5704072042173127,119,65,"[0.00251043 0.         0.02951742 0.02287304 0.88350033 1.
 0.80281467 0.50223129 0.93551062 0.91704567 0.33330323 0.24964678
 0.74648959 0.40336078 0.76584316 0.         1.         0.61510052
 1.         0.6094523  0.         0.         0.         0.00820243
 0.         1.         0.         0.         0.11083029 0.04150063
 0.88354538 1.         1.         0.13642771 1.         0.
 0.97574743 0.28187079 1.         0.24613175 1.         0.96127066
 0.4295928  1.         0.13022049 0.         0.12029615 0.94375779
 0.47357606 1.         0.37954069 0.         1.         0.66966997
 0.         0.02485785 0.31064948 1.         0.         0.73247403
 1.         1.         0.00265521 0.88498023 0.         0.07849082
 0.         0.39226544 0.42353674 0.56579842 0.08733917 0.50849329
 0.01926927 0.         0.61383761 0.         1.         0.30710697
 0.81720043 1.         0.         0.39371727 1.         0.45785305
 0.77282831 0.09042622 1.         0.78831322 1.         0.27419988
 0.06143473 0.5707018  0.30645232 0.5488231  0.38474812 0.2788987
 0.62796013 0.70950484]",-3.5724533427376435,COMPLETE
3,0.7123745740820913,0.784806018042636,69,81,"[0.00380079 0.         1.         0.         0.21757908 1.
 1.         1.         0.         0.61927404 1.         0.
 0.         0.79770007 1.         1.         0.         0.74493773
 0.5569575  0.26464683 0.11081586 0.92826547 0.         0.
 1.         0.02636206 0.         0.         0.         0.04562907
 0.09800047 1.         0.         0.8141908  0.35750683 1.
 1.         0.         0.75698966 0.75576956 0.90032379 0.22001906
 0.57063498 1.         0.         1.         1.         0.82562983
 0.         0.         0.27152597 0.51273424 0.15826402 0.
 0.0477686  0.14845145 0.89273993 1.         0.11853673 0.55928066
 0.65562016 1.         0.97809596 0.7684376  0.07393962 0.
 1.         0.34730037 1.         0.3584735  1.         0.
 0.         0.         1.         1.         0.         0.64420838
 0.         0.93749412 0.         0.87682389 0.07411999 1.
 0.         0.         0.         0.38407951 0.41963549 0.183359
 0.17314441 0.67287155 1.         1.         0.98242153 1.
 0.43399621 0.        ]",-2.897416833091807,COMPLETE
4,0.9738552412004462,0.3601675252162789,26,30,"[6.61886654e-03 9.94182287e-01 4.07513191e-02 9.98577376e-01
 5.48929544e-02 1.93632832e-01 3.12022176e-01 1.00000000e+00
 9.84341007e-01 1.58691763e-02 2.17371792e-03 3.16478590e-01
 9.60597926e-01 9.52984451e-01 8.61275666e-01 1.08187155e-01
 2.02131417e-01 2.41495965e-01 8.71417145e-03 1.00000000e+00
 6.06295447e-04 1.00000000e+00 0.00000000e+00 1.23065150e-02
 9.97277788e-01 8.01789446e-01 6.11013261e-01 0.00000000e+00
 9.60376926e-01 1.06638963e-01 5.81121723e-01 9.89555892e-01
 1.00000000e+00 9.90106820e-01 2.90701981e-03 9.91498469e-01
 9.91134159e-01 2.07392462e-01 1.69260725e-01 4.13608561e-01
 1.26141407e-02 6.49276762e-01 9.96998466e-01 9.12184066e-01
 1.00000000e+00 5.41352276e-02 7.40577814e-01 1.32200208e-02
 6.89735919e-01 0.00000000e+00 1.51875453e-01 6.73639282e-01
 8.43636019e-01 9.40559685e-01 3.28885770e-03 1.00000000e+00
 0.00000000e+00 6.57089078e-01 5.53133013e-01 1.74628594e-01
 9.54802280e-01 6.96528935e-01 1.43750411e-01 1.00000000e+00
 5.39078031e-01 1.00000000e+00 5.79778087e-01 7.12214891e-03
 1.00000000e+00 8.48757628e-01 1.28225455e-01 2.98490657e-02
 4.28298971e-03 8.08190683e-02 9.46576604e-01 1.00000000e+00
 3.48762811e-02 1.69252374e-02 1.00000000e+00 1.75736561e-02
 9.97599285e-01 1.90290959e-02 9.99891527e-01 6.02236097e-01
 6.71081533e-01 8.08176247e-01 9.91846144e-01 7.82038945e-01
 5.60339793e-02 6.26799828e-01 6.26536431e-01 1.00000000e+00
 5.26082994e-02 5.69961912e-04 3.07875053e-03 1.00000000e+00
 1.00000000e+00 3.31161122e-01]",-2.232102480779866,COMPLETE
5,0.9828705465534338,0.1592275490084903,43,15,"[2.66241758e-02 1.22583412e-01 1.37614564e-01 8.40949122e-01
 7.22267907e-01 9.49925421e-02 1.56290929e-01 9.99996759e-01
 9.46848999e-01 1.89077368e-01 6.94279849e-01 4.20916685e-01
 7.96840848e-01 2.11957640e-05 2.16386221e-01 9.09372720e-01
 3.96242842e-03 3.36534583e-01 4.34733261e-02 9.43581619e-01
 1.67063994e-01 2.98253410e-01 9.99315736e-01 8.06254041e-01
 2.03395198e-01 2.71607654e-01 5.21293528e-01 5.88817051e-01
 4.03007529e-05 7.30135454e-01 5.49832079e-01 2.97149652e-01
 9.87968689e-01 5.74125732e-01 3.81137041e-01 1.98666854e-02
 7.72618652e-01 5.74415887e-03 7.36803725e-01 7.76603872e-01
 4.46885248e-01 4.73177488e-01 7.78166770e-02 7.29458793e-01
 1.16659427e-01 6.17977163e-01 4.72913449e-01 5.79504155e-01
 5.12001857e-01 9.55619245e-01 4.95900839e-01 1.20733417e-01
 5.61801729e-01 9.99451625e-01 3.80311177e-01 7.31218379e-02
 6.61501079e-01 1.46880522e-06 2.32849538e-01 5.07608930e-01
 8.85295786e-01 9.36435239e-01 9.96032024e-01 5.14904315e-01
 5.00278486e-01 8.02240344e-01 3.28233412e-01 5.82088626e-01
 8.94850721e-01 7.36990330e-01 6.40198837e-01 8.00989432e-01
 8.58669726e-02 2.82534963e-02 2.75259267e-01 2.38735183e-02
 9.64611897e-01 2.00275583e-05 1.74226998e-03 1.08591036e-01
 2.11420064e-01 4.37130127e-05 1.01107527e-02 8.79743358e-01
 5.89483030e-01 5.45397119e-01 9.99982217e-01 7.39968396e-01
 9.95212757e-01 7.05351408e-01 5.99064901e-01 9.99778625e-01
 6.67328973e-01 9.16839647e-01 9.99977047e-01 4.61912387e-01
 9.61770577e-02 2.88145783e-02]",-1.6816129156072148,COMPLETE
6,0.22476993896804542,0.16384856027517886,617,37,"[1.19793217e-01 9.89200309e-01 8.68086895e-02 4.46418368e-02
 9.99877699e-01 1.53360851e-01 8.98935152e-01 5.04906736e-01
 7.81932942e-01 5.12459165e-01 1.76225854e-01 4.38836191e-01
 3.43043264e-02 8.66005506e-01 1.88297992e-01 3.25788990e-01
 4.92299409e-02 9.07756626e-01 7.98849452e-01 5.86880909e-01
 2.31726939e-02 2.75385217e-04 9.16470438e-01 1.08041915e-01
 9.46923148e-01 9.88448063e-01 9.68021085e-01 4.23528976e-02
 2.84462929e-01 9.94558250e-02 9.99965033e-01 6.02570337e-01
 8.94245213e-01 2.91003348e-02 0.00000000e+00 3.88661781e-02
 9.99299844e-01 2.40357311e-01 9.64659950e-01 1.90312559e-02
 9.41231640e-01 1.00000000e+00 3.75381692e-02 3.37407737e-02
 4.72012004e-03 1.23272667e-01 2.51502366e-01 9.51372291e-01
 1.23094980e-01 8.23980541e-01 7.96506164e-01 7.62896274e-01
 1.00000000e+00 4.01059034e-01 9.96681739e-01 4.91650816e-02
 2.81185238e-02 3.90637136e-01 1.37257828e-05 4.52006118e-01
 9.46587981e-01 6.34141130e-01 9.44725111e-02 9.27426938e-01
 0.00000000e+00 5.45143852e-01 0.00000000e+00 0.00000000e+00
 1.93481780e-01 8.96384485e-01 1.87208585e-01 5.77365238e-01
 1.61258230e-06 2.27907976e-01 6.76762981e-02 5.57204293e-01
 9.94859377e-01 9.43880626e-02 8.59315125e-01 9.99998462e-01
 7.45955427e-01 4.58580290e-01 9.98593518e-01 4.19436973e-01
 5.84899306e-01 7.46165738e-01 7.81405958e-01 5.61775549e-01
 4.44902232e-02 5.09428595e-01 1.21286390e-01 4.49880813e-01
 9.96396657e-01 9.98942891e-01 2.86339421e-01 3.26026356e-01
 8.98229232e-01 3.49654569e-01]",-5.720481199890582,COMPLETE
7,0.9847494372852713,0.41091545079808034,49,10,"[0.         0.         0.         0.81143698 1.         1.
 1.         1.         1.         0.         0.95573354 1.
 0.99458092 0.72576155 0.         0.91560818 0.60372534 0.97636338
 1.         0.042896   0.99170311 0.20758238 0.01125938 0.
 0.         0.92587916 0.89044307 0.75670135 0.         1.
 1.         0.01888242 1.         1.         0.01358244 0.12619001
 0.22245085 0.4559811  0.         1.         0.19621494 1.
 0.80710294 0.         0.         0.02246022 0.0348875  0.
 0.85399291 1.         0.00211715 0.         1.         0.63519392
 1.         0.64485818 0.05007329 1.         0.         0.54854316
 0.34500226 1.         0.6829886  0.00896292 0.7122215  0.0524671
 0.82771482 1.         0.56156383 0.         1.         0.51236626
 0.51873313 1.         0.94980967 0.99571168 1.         0.70044511
 1.         1.         0.05444386 1.         0.01583882 1.
 0.03675882 0.07834424 0.08519211 0.         1.         0.13053426
 0.6768117  1.         0.85991995 0.93073647 1.         1.
 0.         0.4638488 ]",-1.6696850288825464,COMPLETE
8,0.7641601313659601,0.4428630002834677,42,243,"[1.76576000e-02 1.00000000e+00 7.22466419e-02 3.72864660e-01
 6.04576244e-01 9.11582859e-01 1.00000000e+00 1.00000000e+00
 7.42856794e-01 2.06130733e-01 8.53008617e-04 6.24364889e-01
 1.00000000e+00 7.19002039e-01 6.47456459e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 5.09834270e-01 1.00000000e+00
 0.00000000e+00 6.42545134e-02 6.48348316e-02 0.00000000e+00
 1.00000000e+00 3.36337188e-01 5.61844616e-01 8.39574452e-01
 1.33440470e-01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 8.37672454e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00
 9.73446498e-01 1.87426032e-01 4.40161133e-01 7.05194258e-01
 1.00000000e+00 7.21850244e-01 2.86994571e-01 9.39484387e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 5.21245145e-02 9.85991248e-01 8.14950709e-01 1.00000000e+00
 2.77553286e-01 0.00000000e+00 3.01683635e-01 3.59950946e-01
 3.71334573e-01 0.00000000e+00 3.33551887e-01 0.00000000e+00
 7.86408170e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 1.88710208e-01 7.89617199e-01 1.12734695e-01 7.49652805e-01
 4.77997536e-01 0.00000000e+00 5.55042990e-01 5.60186363e-01
 9.19996690e-01 3.89116259e-01 1.00000000e+00 3.05128234e-01
 1.00000000e+00 0.00000000e+00 6.84045437e-03 0.00000000e+00
 8.35306422e-01 9.60585903e-01 7.12470135e-01 1.73440966e-01
 2.74160548e-01 0.00000000e+00 8.79868631e-01 4.47583989e-01
 4.01920960e-01 3.80397179e-01 1.27920450e-01 1.86623200e-02
 4.12510923e-02 2.96828834e-01]",-2.9664539908418353,COMPLETE
9,0.2701457415914653,0.48922833951137423,186,151,"[0.01909837 1.         0.         0.         1.         0.
 1.         0.86613551 0.41635081 0.19001626 0.07054798 0.59744643
 0.         0.84903003 1.         0.9419263  0.48922834 0.8797933
 0.         0.85197637 0.         0.8471798  0.17310454 0.
 1.         1.         0.22701165 0.87135451 0.         0.20872245
 0.00801494 0.77159053 0.         0.41382138 0.4351616  0.
 1.         0.31943108 0.72637411 0.80579627 1.         0.81568746
 0.73336355 0.03654673 1.         0.02550566 0.         0.87761341
 0.84909255 0.95724416 0.75046882 0.93430234 1.         0.17794481
 0.81279189 0.06369097 1.         0.         0.21732379 1.
 0.50823174 1.         0.         0.8443986  1.         0.31329589
 0.42919125 0.03799657 0.         0.76891817 0.26676175 0.41645078
 0.09519394 0.03508795 0.05655769 0.1598557  0.88564564 0.04103441
 1.         1.         0.         1.         1.         1.
 1.         0.23245551 0.08557912 0.26468211 0.60156322 0.
 0.42115063 0.16960308 0.76736685 1.         1.         0.60176606
 0.54893817 0.3404784 ]",-4.051992160373206,COMPLETE
10,0.12497569327208677,0.11547291349461053,884,22,"[4.85869087e-01 3.91223453e-02 8.33043593e-02 7.79023380e-01
 8.54503137e-02 1.23523536e-03 9.58104352e-01 8.06238719e-01
 7.54465915e-01 7.61501356e-01 1.13773599e-01 6.57767717e-01
 9.98349409e-01 4.88908903e-01 8.89543818e-01 3.75422640e-01
 1.04620409e-01 2.06911238e-02 9.80689998e-01 4.77448299e-01
 8.27586417e-02 1.67201559e-01 9.07243361e-02 1.50552976e-03
 1.38027946e-04 3.76044633e-01 8.07680576e-01 2.10324626e-01
 0.00000000e+00 1.07225079e-01 9.99995438e-01 4.87912226e-01
 1.49279188e-01 7.66859425e-01 9.09336784e-01 4.49558330e-02
 9.68165453e-01 1.29200938e-01 2.67755878e-01 3.01807189e-01
 3.98979319e-03 7.15143213e-01 8.90385493e-02 7.81685939e-01
 1.92913830e-01 9.82089550e-01 9.99905484e-01 8.84933569e-01
 5.66160688e-01 7.20104536e-01 9.21761251e-01 9.09616630e-01
 1.61903726e-01 2.01804891e-01 9.54384699e-01 4.71425724e-02
 4.70267388e-02 3.58826051e-01 0.00000000e+00 4.23319817e-01
 3.75265436e-01 6.88446968e-01 9.52835287e-02 9.71868027e-01
 0.00000000e+00 2.86461986e-01 0.00000000e+00 3.09655327e-01
 8.97990494e-01 9.20224472e-01 6.99883130e-01 5.19522430e-01
 9.38781506e-02 4.90303031e-01 1.97237928e-01 8.73720085e-01
 1.00000000e+00 4.01098352e-01 9.86438429e-01 8.16712031e-01
 1.15104643e-01 2.07834624e-01 8.22625476e-01 2.01879438e-01
 9.84659142e-01 3.80520534e-01 7.87151023e-01 2.82278217e-01
 4.32283495e-01 3.98911678e-01 1.17207019e-02 3.95059813e-01
 8.20546640e-01 9.99840749e-01 4.70402529e-01 0.00000000e+00
 6.17918424e-01 1.55444683e-01]",-5.308942966991312,COMPLETE
