trial_number,CR,F,G,size,best_positions,best_total_power,state
0,0.968540662820932,0.8860864625126346,113,191,"[2.64727671e-02 2.60340401e-01 6.88870144e-02 3.37671210e-02
 7.30078185e-01 1.00000000e+00 4.57831151e-01 1.00000000e+00
 4.42000411e-01 1.00000000e+00 1.00000000e+00 4.15207446e-01
 4.80806527e-01 4.61480309e-01 1.00000000e+00 8.11022518e-01
 1.00000000e+00 6.63543953e-01 4.85167175e-01 6.93372069e-01
 8.34661429e-01 9.59600716e-01 3.64885781e-01 2.73875795e-01
 8.31991418e-01 8.79095877e-01 4.72381520e-01 9.63941901e-01
 2.45418451e-01 9.47984748e-01 2.72060654e-01 7.06888561e-01
 2.75966912e-01 5.07027578e-01 2.80868805e-01 5.27609898e-01
 9.20813288e-01 3.15151362e-01 1.53524605e-01 1.00000000e+00
 1.00000000e+00 7.39451445e-01 1.00000000e+00 1.00000000e+00
 1.91878266e-01 3.21467597e-02 2.54308640e-01 1.00000000e+00
 4.16320975e-01 3.53718757e-01 8.16961162e-01 1.00000000e+00
 1.00000000e+00 1.00000000e+00 6.84507504e-01 2.30699552e-01
 4.89623821e-01 9.29925847e-01 9.24799072e-01 8.35114624e-01
 6.34911270e-01 6.06178761e-01 3.14048871e-01 7.13455978e-01
 1.00000000e+00 3.25702396e-01 2.21819401e-04 6.31286532e-01
 6.54513838e-01 6.15612977e-01 3.14574877e-01 4.05021011e-01
 1.19568179e-01 6.86872261e-02 7.28604511e-01 2.90985004e-01
 1.00000000e+00 3.71208408e-01 1.00000000e+00 1.00000000e+00
 1.86205911e-01 1.00000000e+00 1.00000000e+00 6.41707229e-02
 5.16410721e-01 3.26565424e-01 9.92059581e-01 1.00000000e+00
 6.02784312e-01 2.89589820e-01 1.60388369e-01 9.95079281e-02
 1.00000000e+00 3.68830477e-01 9.58450370e-01 1.00000000e+00
 1.08303032e-01 1.00000000e+00]",-2.8431884640297596,COMPLETE
1,0.011398804277429897,0.3094554951795616,62,42,"[0.06606102 0.02892249 0.0390015  0.50697308 0.220576   0.42175118
 0.58381376 0.0997309  0.28458486 0.76758148 0.01913137 0.93270694
 0.73905495 0.61761352 0.59609144 0.3196303  0.66604976 0.0087699
 0.87381748 0.31209851 0.51819545 0.47948846 0.81932886 0.05506487
 0.44006252 0.52391882 0.96947275 0.11472224 0.52514951 0.70170614
 0.87914879 0.26864966 0.24631526 0.96315352 0.64716712 0.90696345
 0.76333367 0.06906803 0.39810707 0.09443074 0.20697272 0.87188071
 0.03150886 0.74044538 0.81325431 0.91655725 0.3882311  0.49033247
 0.71341967 0.15353556 0.8210631  0.24546539 0.68894916 0.05584762
 0.89722525 0.82042723 0.11801197 0.2122559  0.40290315 0.6478287
 0.4530135  0.73389451 1.         0.3572423  0.72408404 0.36974048
 0.81082528 0.11751933 0.92578596 0.12727026 0.13741224 0.44751169
 0.10527432 0.41415072 0.11849015 0.81095777 0.3886499  0.68946904
 0.43037426 0.07664419 0.9025413  0.05952404 0.41783627 0.72698326
 0.55227177 0.91755178 0.34200907 0.31354124 0.82611884 0.77352847
 0.92777613 0.85673609 0.51596914 0.87418122 0.48693808 0.92055168
 0.71975303 0.99700024]",-1.4125737999752894,COMPLETE
2,0.47839179580240243,0.5704072042173127,119,65,"[0.03909177 0.5709816  0.02527463 0.68529131 0.59902621 0.76341575
 1.         0.85792716 0.89090912 0.228443   0.85405762 1.
 0.69555552 0.27161504 0.93842965 0.10654793 0.44276434 0.97691485
 0.18458425 0.91633946 0.3743779  0.34340529 0.08733565 0.25582429
 0.83029678 0.6269247  0.83566931 0.27163684 0.66754956 0.1093275
 0.76458706 0.46900725 1.         0.22075953 0.03343907 0.57350498
 1.         0.35776815 0.80487053 0.55578992 0.88128837 0.92085084
 0.48574677 0.55426668 0.63326889 0.63340397 0.16006214 0.93060778
 0.02874046 0.32085885 0.0088236  0.96814126 0.22418395 0.07390854
 1.         0.32842683 0.34714261 0.25360171 0.94535681 0.54060188
 0.81186801 0.72397468 0.26283484 0.40491415 0.67995007 0.56660616
 0.11128917 0.29288717 0.33020422 1.         0.12937009 0.02623563
 0.23555371 0.01780428 0.6491767  0.54075449 0.90556885 0.34314715
 1.         0.93099499 0.1060261  0.02659751 0.84101124 0.21838342
 0.49486342 0.00426903 0.38977552 0.98319444 0.13073913 0.22764087
 1.         0.27414128 0.766135   0.91141438 0.56279998 0.11562706
 0.66589219 0.89980429]",-2.735760017431819,COMPLETE
3,0.7123745740820913,0.784806018042636,69,81,"[0.07789556 0.5481004  0.02536403 0.13394991 0.55517703 1.
 0.66543144 0.75855598 0.76491621 0.09924635 0.25298168 0.25653145
 0.45414364 0.07766071 0.75993778 0.06913675 0.29653865 0.87957019
 1.         1.         1.         0.52449357 0.08344154 0.0492735
 0.47180491 0.91716571 0.47245096 0.67004274 0.27398225 0.12303139
 0.85512693 0.17773378 0.81691814 0.64580318 0.89616737 0.99553216
 0.25881605 0.04775016 0.94009583 0.36353337 0.716757   0.86135871
 0.91431541 0.75591704 0.93284402 0.41571493 0.83089729 0.97957238
 1.         0.48303533 0.24326798 0.71409975 0.7111116  0.23925272
 0.03450939 0.30493529 0.16029942 0.50547096 0.08061444 0.7854737
 0.01244674 0.82747389 0.18858339 0.09445491 0.21034461 0.42451929
 0.08877803 0.62999335 0.37383847 0.81192448 0.59315779 0.87792381
 0.12717636 0.35419636 0.62195583 0.57373626 0.12764938 0.50891895
 1.         0.4197568  0.94387861 0.17723447 1.         1.
 1.         1.         0.51727915 0.66880617 1.         0.16088398
 0.60752227 0.62025886 0.80882384 0.38890992 0.5950501  0.77089125
 0.09718899 1.        ]",-2.232848530390737,COMPLETE
4,0.9738552412004462,0.3601675252162789,26,30,"[0.0910929  0.44055016 0.06733492 0.22822723 0.01017945 0.4328255
 1.         0.67630507 0.43783297 0.22718523 0.45535045 0.91078485
 0.97415825 0.87884639 0.77115044 0.47030217 0.43573734 1.
 0.23266527 0.37160515 0.1555274  0.22706511 0.01763727 0.19906386
 1.         0.3095735  0.43445482 0.26925919 0.8652294  0.05022162
 1.         0.85973794 0.60123675 0.82728251 1.         0.11600512
 0.98696132 0.39994198 0.47575169 1.         0.46182064 1.
 0.75221529 0.78734952 0.57454017 1.         0.1946369  0.57163033
 0.92486748 0.28962832 0.30292838 0.2828299  0.93851272 0.24047589
 0.23698622 0.52610864 0.24569624 0.49214661 0.09416344 0.8252688
 0.53113828 1.         0.58397347 0.71921187 0.5742378  0.19668288
 0.92157598 0.47343227 0.28016944 0.57634788 0.07244878 0.04148932
 0.71572709 0.52976144 0.80243078 0.49728042 0.87743872 0.05410723
 0.39639995 0.69809228 0.30404752 0.09576836 0.66888442 0.39316363
 0.7513291  1.         0.77455462 0.79366086 0.5496729  0.47204319
 0.86687405 0.78848692 0.08576357 0.47728739 0.77611588 0.82694114
 1.         0.48443389]",-1.747122045519075,COMPLETE
5,0.9828705465534338,0.1592275490084903,43,15,"[0.02613271 0.66173929 0.26833777 0.31120881 0.62243204 0.75557949
 1.         0.5963866  0.70793924 1.         0.78180292 0.23886334
 0.60708712 0.08490168 0.12092    1.         0.99520295 0.88490403
 0.92781177 0.79958651 1.         0.59827341 0.88576666 0.44090148
 0.90076528 0.60906287 1.         0.30230621 0.23780237 0.10188563
 0.07872987 0.47874484 0.70340866 0.53252333 0.55707333 0.1876375
 0.51760046 0.30806645 0.85817731 0.56532067 0.70331179 0.74018689
 0.37192162 0.41808332 0.15915523 0.097429   0.76873482 0.28307112
 0.61061407 0.38998351 0.23393214 0.73486685 0.92253492 0.99775534
 0.83131566 0.06346977 0.25440176 0.27739766 0.94666431 0.83433586
 0.52183137 0.70310894 0.34253974 0.84602877 0.51239415 0.12391824
 0.13435702 0.41640384 0.06203112 0.04912332 0.040346   0.23382848
 0.56200862 0.49626124 0.25285616 0.122913   0.97268048 0.06973621
 1.         0.65243275 0.92378097 1.         0.2133781  1.
 0.95977081 0.90461397 1.         0.88693455 0.57640607 0.90652287
 0.54042996 0.19936006 0.34764914 0.91616025 0.24646237 0.2724939
 0.53768326 0.97303029]",-2.423649902011681,COMPLETE
6,0.22476993896804542,0.16384856027517886,617,37,"[0.11143271 0.7129346  0.0459395  0.39335271 0.10162957 0.74957385
 0.84226999 0.79099979 0.4755629  0.12288125 0.03889771 0.89133166
 0.08993185 0.67443692 1.         0.27022319 0.92487899 0.3409602
 0.98398132 0.61120074 0.15931039 0.18230716 0.49527516 0.06400114
 0.9571569  0.80314177 0.41004622 0.47642251 0.07443294 0.87682504
 0.98262713 0.49803867 0.13112691 0.33013908 0.21706846 0.56690771
 0.97193502 0.1001592  0.99547906 0.11702203 1.         0.7443938
 0.05680508 0.88943774 0.26661536 0.00728391 0.05267709 0.68918711
 0.70941765 0.74851551 1.         0.05295647 0.69474358 0.28948808
 0.71035553 0.21137162 0.30977243 0.04743532 0.0225471  0.9049369
 0.10346875 0.58056484 0.12466803 1.         0.01917497 0.67468758
 0.94437138 0.09535768 0.17563568 0.59412126 0.93361064 0.21351433
 0.01364304 0.44716683 0.14002768 0.62479829 0.29717434 0.31129445
 0.16823128 0.91867061 1.         0.51550888 1.         0.98658063
 1.         0.99739399 0.139173   0.86036971 0.91379247 0.53900963
 0.10399627 0.180026   0.06268411 0.90363212 0.57056283 0.52096411
 0.21344828 0.72825288]",-4.732593100359384,COMPLETE
7,0.9847494372852713,0.41091545079808034,49,10,"[0.63818954 0.28872079 0.03164424 0.33255258 0.04347917 0.46564518
 0.40520068 0.0384436  1.         0.90614056 0.53498053 0.73976633
 0.08991349 0.03811492 0.42403831 1.         0.47733289 0.79261123
 0.68739984 0.00683017 0.73839773 0.14308104 0.94337333 0.44303119
 0.82603119 0.83992207 0.15564759 0.19919794 0.70466521 0.39392617
 0.28401795 0.5568412  0.26126149 0.99457105 0.12939653 0.11497581
 0.84986245 0.57035198 0.16155564 1.         1.         0.89363372
 0.16043418 0.52254814 0.25452571 0.21137202 0.18049299 0.71613548
 0.38319742 0.58690062 0.82548714 0.85950075 0.71616052 0.08592915
 0.55656724 0.11865491 0.62880842 0.41106685 0.13697929 0.88838928
 0.39612098 0.8378138  0.04957988 0.81756448 0.77275359 0.6893005
 0.52545946 0.3806196  0.21589851 0.17473343 0.78518475 0.18343085
 0.070758   0.98330976 0.90563746 0.86465925 0.48723674 0.35198311
 0.25423728 0.48070976 0.93835771 0.28920596 0.87729406 0.76994598
 0.6521422  0.92365397 0.40185069 0.52615571 0.80926267 0.31665283
 0.77873533 0.70731589 0.10674907 0.04303278 1.         0.10979218
 0.469562   0.68915948]",-1.8612262338049423,COMPLETE
8,0.7641601313659601,0.4428630002834677,42,243,"[0.08351941 0.44206325 0.62459541 0.54334403 0.1075581  0.30185492
 0.7161915  0.67718721 0.15095952 0.00644185 0.74404809 0.04146039
 0.12790548 0.85390835 0.3586549  0.599825   0.98957471 0.4517677
 0.61545749 0.76850302 0.91017681 0.14655975 0.99624986 0.7070379
 0.92975845 0.76680681 0.37333783 0.95257124 0.00838893 0.08093493
 0.0882918  0.95902201 0.57636312 0.98582657 0.671319   0.03337134
 0.32595555 0.17523139 0.5282816  0.21243554 0.73792606 0.57746348
 0.51869858 1.         0.35544372 0.44001999 1.         0.66196141
 0.63505624 0.9650221  0.86116404 0.72811795 0.98700356 0.10334668
 0.68032305 0.89849688 0.00755116 0.70164529 0.07998077 0.3020475
 0.55479124 0.56881565 0.0464333  0.26127482 1.         0.17204276
 0.0502653  0.00156313 0.348465   0.61719362 0.13805373 0.70772604
 0.0366513  0.41320185 0.70251106 0.23452581 1.         0.19322001
 0.90819411 0.58215709 1.         0.62305519 0.52107225 0.17100797
 0.15558218 0.878249   0.90901134 0.26196249 0.86795963 0.26985175
 0.07984722 0.01507539 0.05059884 0.13363018 0.56047927 0.93477566
 0.94856688 0.27752645]",-2.0934287280492034,COMPLETE
9,0.2701457415914653,0.48922833951137423,186,151,"[0.01329417 0.40632931 0.81888979 0.83218158 0.54635848 0.75196501
 0.50764564 0.60541845 0.13712536 0.78651657 0.28369786 0.14860996
 0.10432576 0.15202286 0.99298286 0.59627802 0.1197721  0.88145947
 0.9000453  0.50529423 0.82156393 0.93501328 0.08119258 0.5202653
 0.88319512 0.76409463 0.80907849 0.01074    0.15745747 0.09317705
 1.         0.67413617 0.31189969 0.24735526 0.82961664 1.
 0.50321321 0.37631617 0.26062526 0.76133112 0.87659737 0.15041981
 0.14965473 0.80110304 0.4804294  0.3467666  1.         0.7412317
 0.74785352 0.08823315 0.38965111 0.76392641 0.16850881 0.18715083
 0.29445497 0.82139355 0.16107865 0.44730876 0.57776262 0.04316396
 0.04022039 0.56078845 1.         0.58436884 0.64080218 0.56725405
 1.         0.30138688 0.42688886 0.63065368 0.02690557 0.3765822
 0.48406394 0.02883217 0.07340591 0.54495734 0.9642449  0.67557597
 1.         1.         0.00635129 0.99828689 1.         1.
 0.1221698  1.         0.19585849 0.20016764 0.86627731 0.16979022
 0.23228679 0.3624115  0.60676416 0.49163156 1.         0.58469022
 0.37151671 0.31353696]",-3.27938742165957,COMPLETE
