trial_number,C1,C2,W,max_iter,size,best_positions,best_total_power,state
0,2.36919454021392,2.030855691555599,0.8748325302567456,28,194,"[0.         1.         0.         1.         0.         0.
 1.         1.         0.21738332 1.         1.         1.
 1.         0.         0.62443255 1.         1.         1.
 1.         0.         0.         0.         0.         1.
 1.         1.         0.68349034 0.         1.         1.
 0.         1.         0.         1.         0.         0.
 1.         0.09432616 0.49265082 0.         0.         1.
 0.         0.4992753  0.         0.         0.         1.
 0.         1.         1.         1.         0.         0.
 1.         1.         0.         1.         0.         0.46105538
 0.         0.16721664 1.         1.         0.         0.53907171
 0.73482388 0.         0.         0.         1.         0.
 1.         1.         0.         0.         1.         0.87155141
 1.         1.         0.69277143 1.         1.         1.
 0.20654879 1.         0.         1.         1.         0.
 0.08700356 1.         1.         0.         1.         0.
 1.         0.        ]",-2.83305031097527,COMPLETE
1,1.9023513600373647,2.0226746713525694,0.4443750546339924,88,10,"[0.         1.         1.         0.         1.         1.
 1.         0.80779649 1.         0.         1.         0.
 1.         0.         1.         0.         0.86790816 0.
 1.         0.         0.         0.         0.         1.
 0.03082782 0.61562203 1.         1.         0.         0.
 0.86512667 1.         0.         0.         1.         1.
 1.         0.         0.         1.         0.         0.
 1.         1.         0.         0.         1.         1.
 0.         0.         1.         0.         0.         0.27267675
 0.         0.         0.         0.         0.         1.
 0.         1.         1.         1.         0.         0.
 1.         0.870278   0.         1.         1.         0.
 1.         0.17499429 1.         0.         1.         0.
 1.         0.         0.         1.         1.         0.
 0.18262202 0.         0.         1.         0.21562535 0.70955369
 0.         1.         1.         0.99872702 1.         0.
 1.         0.        ]",-2.9670479401667644,COMPLETE
2,2.260895575602929,2.2123745740820913,0.5347088140340323,170,65,"[0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 7.99059305e-01 0.00000000e+00 9.99920912e-01 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.12679032e-01 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 9.85753166e-01 0.00000000e+00
 1.00000000e+00 9.64915967e-01 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 7.92830983e-02 9.01978838e-01
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 5.60525270e-04 1.00000000e+00 1.43849208e-01 1.00000000e+00
 1.00000000e+00 6.11056431e-01 3.33145391e-01 1.00000000e+00
 9.99755389e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 6.45185245e-02 1.00000000e+00 1.65957128e-03 4.06650298e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 7.05739538e-01 0.00000000e+00
 2.55112593e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.41920254e-01 9.99578804e-01 2.58567545e-01 0.00000000e+00
 6.05779922e-01 0.00000000e+00 5.91822757e-01 0.00000000e+00
 0.00000000e+00 7.82549647e-01 7.79277894e-01 0.00000000e+00
 5.95027470e-04 0.00000000e+00 7.97088903e-01 1.00000000e+00
 9.58436515e-01 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 1.93389124e-01]",-2.320589474913269,COMPLETE
3,2.473855241200446,1.8337740455106704,0.33126002241447017,26,41,"[0.         1.         1.         0.         0.         1.
 1.         0.         0.         0.         1.         0.
 0.         0.         1.         0.29730595 1.         0.
 0.         1.         1.         1.         0.         0.
 0.         1.         1.         1.         1.         0.
 1.         1.         0.         0.         0.         1.
 0.         0.         1.         1.         1.         0.
 1.         0.         0.         0.         0.         1.
 0.         0.         1.         1.         0.         0.
 0.         0.         0.         0.         0.00745308 0.
 1.         1.         0.         0.         0.         1.
 1.         1.         1.         1.         0.         1.
 1.         1.         0.         0.         0.         0.
 1.         0.07452988 0.         0.         1.         0.
 1.         0.         0.         1.         1.         0.
 0.         1.         0.         0.         1.         0.
 1.         0.        ]",-1.8893972166630029,COMPLETE
4,1.6278557129250317,1.8221307932041793,0.886296437242747,13,12,"[0.         0.         0.         1.         1.         1.
 1.         1.         1.         0.         0.         1.
 0.         1.         0.         0.         1.         1.
 0.         1.         1.         0.         1.         0.
 1.         0.         0.         1.         0.97122954 1.
 1.         1.         1.         0.         0.         1.
 0.         1.         0.         0.         1.         1.
 0.         0.         1.         0.         1.         1.
 1.         1.         0.         1.         1.         1.
 0.         0.         0.         0.         1.         1.
 1.         0.         0.         1.         0.         1.
 0.18733688 1.         0.         0.         0.         1.
 0.         0.         0.         0.59853282 0.         0.
 1.         1.         0.         0.         0.         0.
 1.         1.         1.         1.         1.         1.
 0.         0.         1.         1.         0.         1.
 1.         0.        ]",-2.211551675461009,COMPLETE
5,2.396145004880635,1.845461611997867,0.41490793195488396,932,21,"[1.61886743e-02 9.99996444e-01 3.29705255e-04 4.76082359e-01
 8.47037670e-01 1.00000000e+00 3.33246575e-05 1.00000000e+00
 2.02520959e-01 9.97955857e-01 3.71621693e-05 1.00000000e+00
 1.13260660e-01 9.97630026e-01 1.00000000e+00 6.16513295e-01
 8.02032027e-01 9.99996376e-01 1.00000000e+00 9.79892243e-01
 9.99802816e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 3.33084848e-06 9.99997854e-01 6.17676608e-01
 9.99999837e-01 0.00000000e+00 8.11503661e-01 9.99979702e-01
 3.88162473e-02 1.00000000e+00 2.62472351e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 9.99992233e-01 9.99940959e-01
 9.99999213e-01 9.62844734e-01 5.92330704e-01 3.91327636e-01
 0.00000000e+00 0.00000000e+00 9.98634197e-01 1.00000000e+00
 7.06793748e-02 8.31230716e-01 2.49893713e-01 2.01029345e-01
 1.00000000e+00 8.29307276e-01 7.89704477e-01 1.00000000e+00
 0.00000000e+00 1.00000000e+00 9.97089376e-01 7.99145245e-01
 9.99999414e-01 8.37271316e-01 3.79867095e-01 3.31856289e-01
 7.15303119e-01 1.00000000e+00 0.00000000e+00 9.15361358e-01
 2.60543985e-03 1.00000000e+00 6.30992875e-01 1.00000000e+00
 0.00000000e+00 9.31434179e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.73100954e-07 7.79919134e-01 1.00000000e+00
 3.69331549e-01 3.40577017e-02 1.00000000e+00 7.56275402e-01
 3.65044565e-01 1.47920552e-01 8.40829629e-01 5.98832357e-01
 9.98516107e-01 2.64671236e-01 1.50940751e-01 1.79699510e-01
 3.65622012e-01 6.96448154e-01 2.09710805e-01 6.44002881e-01
 1.00000000e+00 9.99005879e-01]",-2.0462810314132205,COMPLETE
6,1.880958889203853,2.2641601313659603,0.3813477890160961,752,10,"[0.         1.         0.16815668 0.         1.         0.
 0.         0.         1.         0.         1.         0.
 0.         0.         1.         1.         0.         0.
 0.76957372 1.         0.         1.         0.         0.
 0.         1.         1.         0.         0.         1.
 0.         0.         0.         1.         0.         0.20041615
 0.         0.         1.         0.         1.         1.
 1.         0.         0.         1.         1.         0.
 0.         1.         1.         1.         0.         0.
 0.         0.         0.         0.         0.         0.
 1.         0.         1.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 0.16666607 0.         1.         1.         1.         1.
 1.         0.         0.         0.         0.         0.
 0.         0.         1.         1.         0.         0.
 0.         1.         1.         1.         1.         0.
 0.         1.        ]",-2.1906481924807326,COMPLETE
7,1.7701457415914654,2.3010558863263944,0.44598074623233275,186,29,"[1.         1.         0.         0.99500623 0.04473372 0.93413169
 0.         0.42870302 0.99505116 0.         1.         0.87711686
 1.         0.78325248 0.07735172 0.         0.76866317 0.
 0.91656896 0.         0.00307871 0.85763494 0.         0.
 1.         0.         0.99508404 0.9222908  0.00463028 0.
 0.98724926 0.         0.16460186 0.07679077 0.98333208 1.
 0.01212083 1.         0.903783   1.         1.         0.
 0.02912279 1.         0.         1.         1.         1.
 1.         0.47593294 0.84225371 0.00645543 1.         0.3944215
 0.         0.         1.         0.         0.17203749 0.
 0.         0.         0.00639743 0.12260574 1.         1.
 1.         0.         0.9930906  1.         1.         1.
 0.         0.41160364 0.         0.48842616 0.         0.45414191
 0.98517939 0.05695231 1.         1.         0.         0.16571168
 0.1785594  0.03466522 0.9862587  0.37575638 0.38031894 0.77287937
 0.91454161 0.93708563 1.         0.98159075 1.         1.
 0.3231345  0.        ]",-2.2774207255467838,COMPLETE
8,2.2955745584289766,1.5320081564257968,0.582915581095289,79,12,"[0.         0.         0.         0.85598304 0.13972043 1.
 0.2865079  1.         0.00496803 0.         0.         1.
 0.60943275 0.         1.         1.         0.         0.
 1.         0.05060266 0.         0.19279843 0.         0.
 0.06364618 1.         1.         0.         1.         0.
 1.         0.08707943 0.         1.         0.13005195 1.
 0.         0.         1.         0.96325588 1.         1.
 0.         0.97581927 0.         0.98027141 0.99584073 0.00694974
 1.         0.         0.         1.         0.08245738 0.00371678
 1.         1.         0.81299811 0.90464325 0.         0.96273572
 1.         1.         0.4348905  0.7109496  0.         0.03709234
 0.15927721 0.97627064 0.         0.65650786 0.         0.95975457
 0.         0.36744177 0.         0.80867677 0.89924751 0.96004091
 1.         0.11756993 0.         0.17120375 0.         0.9675672
 0.         1.         0.40374741 1.         0.         0.82504866
 0.11722638 0.07964267 1.         0.49095083 0.32308271 0.
 0.         0.        ]",-2.1538182158782826,COMPLETE
9,2.083964543500967,1.5389122976423217,0.8908772144909834,76,146,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.27174316e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 9.90601577e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 5.70559733e-01
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 7.85629805e-04 8.16777561e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 6.69739348e-01
 0.00000000e+00 1.00000000e+00 2.58662078e-02 0.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 2.40857126e-01 1.00000000e+00
 1.00000000e+00 1.00000000e+00 9.93662779e-01 0.00000000e+00
 1.00000000e+00 6.48574928e-01 1.00000000e+00 0.00000000e+00
 4.28798959e-04 0.00000000e+00 0.00000000e+00 1.00000000e+00
 3.90184427e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 7.69257678e-01 1.49577796e-01 1.00000000e+00
 0.00000000e+00 1.00000000e+00 9.52786505e-03 0.00000000e+00
 1.00000000e+00 0.00000000e+00]",-2.778104149403436,COMPLETE
